age,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
0,67,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,67,17,2,0.07298507462686568,0.011331494266329735,0.04,0.08,0.04,0.3880597014925373
2,66,36,2,0.1490909090909091,0.017074673139182414,0.08860000000000001,0.16319999999999998,0.07459999999999997,0.43939393939393945
3,65,52,2,0.2272720923076923,0.020660373005585857,0.16753600000000002,0.2496,0.08206399999999997,0.46153846153846156
4,64,60,2,0.30578350546875,0.024010520384732843,0.23448178,0.3392,0.10471822,0.5
5,63,63,2,0.38423192754444446,0.028163112559082104,0.3129885864,0.43199999720000004,0.11901141080000005,0.4920634920634921
6,62,62,3,0.4620138464605645,0.036106202615776656,0.340331809457,0.5279998193569999,0.18766800989999993,0.5
7,60,60,3,0.5398131605317573,0.042230775852058706,0.41746574469611003,0.60797732221418,0.19051157751806996,0.5
8,57,57,5,0.6175568245207419,0.048502502922305867,0.4553425413010125,0.706326812160488,0.2509842708594755,0.5614035087719298
9,53,53,5,0.6907320623666414,0.053761592529523235,0.5339266827366299,0.8008783634926856,0.2669516807560557,0.5849056603773585
10,47,47,4,0.7622584145214599,0.0668263783861247,0.6006582627699141,0.8755580803345675,0.2748998175646534,0.4893617021276596
