age,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
0,66,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,66,15,2,0.07333333333333336,0.01020001980588293,0.04,0.08,0.04,0.43939393939393945
2,64,34,2,0.148540625,0.015629766460487342,0.1098,0.16319999999999998,0.05339999999999999,0.46875
3,62,49,2,0.22479333870967746,0.020641111725298214,0.180313,0.24959999999999996,0.06928699999999996,0.5
4,59,56,2,0.302227569661017,0.025696824995150597,0.2529179,0.33919977999999995,0.08628187999999998,0.4915254237288136
5,56,56,2,0.3818383021089286,0.032047046497561335,0.31301249679999993,0.4319870933,0.11897459650000008,0.5
6,53,53,3,0.46322467261509426,0.03811868808708006,0.37906070786799995,0.5271936379810002,0.14813293011300022,0.49056603773584906
7,50,50,3,0.5440221452614609,0.04457298603470366,0.44837201806167,0.6078939284167999,0.15952191035512991,0.5
8,47,47,3,0.6245710335120989,0.051326474339616214,0.5200622702204499,0.7062247294160346,0.18616245919558472,0.4893617021276596
9,42,42,4,0.7076783270811126,0.05305762530931238,0.5874175060875749,0.8006849331244896,0.2132674270369147,0.5238095238095238
10,38,38,3,0.7872165987703292,0.05431377609789361,0.662816993737528,0.8754696273947512,0.2126526336572232,0.5
