age,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
0,54,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,54,14,2,0.07407407407407407,0.01063162969956098,0.04,0.08,0.04,0.33333333333333337
2,53,33,2,0.14987358490566036,0.016260092957837233,0.1098,0.16319999999999998,0.05339999999999999,0.41509433962264153
3,52,41,2,0.22633494230769233,0.021053916454055854,0.180313,0.24959499999999996,0.06928199999999995,0.4807692307692307
4,50,49,3,0.2997586236,0.028497499093753813,0.22298617999999998,0.33918025,0.11619407000000004,0.5
5,47,47,2,0.3752228752659575,0.032969960700540854,0.3116554162000001,0.4319510739000001,0.1202956577,0.4893617021276596
6,45,45,4,0.44473342577731106,0.03943636654427259,0.372014514646,0.5119523874059999,0.13993787275999992,0.5555555555555556
7,41,41,4,0.5118409856228858,0.05006970816067514,0.40648841668356017,0.6078839086068801,0.20139549192331996,0.5609756097560976
8,36,36,4,0.5844618118044782,0.059807526574177663,0.46171031060400075,0.706168389328204,0.24445807872420328,0.5833333333333333
9,32,32,4,0.6626869009222252,0.0667558915955734,0.5360932309792026,0.7885583706309816,0.25246513965177897,0.59375
10,30,30,3,0.7364668506363513,0.07223374439044644,0.60594601351741,0.8691898469038405,0.26324383338643054,0.5
