age,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
0,70,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,70,17,2,0.07285714285714287,0.011482017884234351,0.04,0.08,0.04,0.3857142857142857
2,69,37,2,0.14853623188405796,0.016468722845992455,0.1098,0.16319999999999998,0.05339999999999999,0.4782608695652174
3,68,55,2,0.22585451470588233,0.020996398851940865,0.180313,0.24959999999999996,0.06928699999999996,0.5
4,67,65,3,0.3008286988059702,0.027795297743677647,0.22298617999999998,0.33919993000000004,0.11621375000000006,0.4925373134328358
5,64,64,3,0.3769474409296875,0.033852317899204155,0.29995607129999996,0.4319996530000001,0.13204358170000013,0.5
6,61,61,4,0.4509660847885574,0.042481183284181816,0.33867201389699997,0.5279862710700001,0.1893142571730001,0.5081967213114754
7,58,58,4,0.5236918967041511,0.049058612330915456,0.38093221308791,0.6079763531767801,0.22704414008887014,0.5344827586206897
8,53,53,4,0.6030615248364866,0.04997224645446836,0.4617142081357062,0.7063276077599223,0.24461339962421613,0.5283018867924528
9,48,48,4,0.6834158647900193,0.049128372087755855,0.5856299150168954,0.7891317016925108,0.20350178667561536,0.5833333333333333
10,44,44,3,0.7599462432789866,0.05247786870732572,0.6559260522937739,0.8697622521881303,0.21383619989435643,0.5
