k,representation_mean_l1,representation_max_l1,transition_mean_l1,transition_max_l1,selected
10,1.3278071254792931,1.999999999,1.2795624829192354,1.99999788269,0
20,0.9553642410465596,1.9999920000000002,0.8924789910134117,1.9988945572767776,0
30,0.7262225367941733,1.9999995676000002,0.6639689335784998,1.998816,0
50,0.4204045314490568,1.9822941438,0.3776425270068733,1.9633010199999998,0
75,0.12608354385313741,1.893698469392,0.12364227131735703,0.32197302020602,0
100,0.08069244865497131,0.3324622937200001,0.0819859357574237,0.27246229372,0
150,0.05177596813188603,0.1577754485784179,0.0538744497561809,0.1577754485784179,0
200,0.04050538043326549,0.11121438000000003,0.04284030486067406,0.11121438000000003,0
300,0.028119379843543436,0.06000000000000003,0.03012688408630868,0.06000000000000003,0
400,0.020376316454147468,0.055563660000000015,0.02266714493124097,0.055563660000000015,0
500,0.012820138267874667,0.04772839388405594,0.014261455587931581,0.04772839388405594,1
750,5.0147592236851736e-05,0.019231498711225186,5.578548722205992e-05,0.019231498711225186,0
752,0.0,0.0,0.0,0.0,0
