map_id,requested_k,effective_k,raw_unique_beliefs,raw_occurrences,sw2_mean,sw2_p95,sw2_max,mse_abs_mean,mse_rel_mean,urc_level_disagreement,transition_mismatch_rate,transition_mismatches,transition_occurrences,ambiguous_transition_keys,transition_key_count
98,50,50,384,553,0.06885794641864078,0.1670522399630322,0.22342701086937516,0.02897422067163787,0.08115943992576725,0.43037974683544306,0.11812627291242363,58,491,47,380
98,75,75,384,553,0.05211840168086386,0.14322188749304704,0.1977069735623015,0.020899923537509496,0.0628883364514887,0.35804701627486435,0.07128309572301425,35,491,32,412
98,100,100,384,553,0.04222294542158699,0.1328548066801142,0.1798254695504895,0.017850439967086098,0.05149895132058633,0.28028933092224234,0.06720977596741344,33,491,29,432
98,125,125,384,553,0.030709318345316938,0.12239221784438045,0.16479458900200672,0.013110565117714103,0.03838954159579032,0.21518987341772153,0.03054989816700611,15,491,15,454
98,150,150,384,553,0.024536710616028547,0.11528975001317625,0.1634447637574461,0.010395628479483063,0.029627935756440373,0.15551537070524413,0.03665987780040733,18,491,16,455
98,175,175,384,553,0.019245165283106862,0.10775878204992566,0.14948015567408454,0.007806583925560172,0.02364141812223747,0.1301989150090416,0.018329938900203666,9,491,9,473
98,200,200,384,553,0.012579049518840358,0.07834486073539457,0.15009699899320098,0.005357190422697478,0.0160992210408416,0.08499095840867993,0.006109979633401222,3,491,3,481
