xhat,yhat,gstate,gvar,action,xhat_next,yhat_next,gstate_next,gvar_next
0,0,0,0,north,0,1,1,1
0,0,2,2,north,0,1,5,4
0,0,6,5,north,0,1,15,11
0,0,26,18,north,0,1,25,17
0,0,37,25,north,0,1,35,24
0,1,0,0,north,0,2,1,1
0,1,1,1,north,0,2,4,3
0,1,2,2,north,0,2,7,6
0,1,5,4,north,0,2,12,10
0,1,8,7,north,0,2,24,16
0,1,15,11,north,0,2,22,16
0,1,25,17,north,0,2,35,24
0,1,35,24,north,0,2,49,36
0,2,0,0,north,0,3,1,1
0,2,1,1,north,0,3,4,3
0,2,4,3,north,0,3,10,8
0,2,7,6,north,0,3,20,15
0,2,12,10,north,0,3,19,15
0,2,22,16,north,0,3,30,20
0,2,24,16,north,0,3,31,20
0,2,35,24,north,0,3,49,36
0,2,49,36,north,0,3,62,44
0,3,0,0,east,1,3,2,2
0,3,1,1,east,1,3,7,6
0,3,4,3,east,1,3,11,9
0,3,10,8,east,1,3,10,8
0,3,19,15,east,1,3,33,22
0,3,20,15,east,1,3,19,15
0,3,30,20,east,1,3,49,36
0,3,31,20,east,1,3,40,28
0,3,49,36,east,1,3,64,46
0,3,62,44,east,1,3,73,51
0,4,0,0,south,0,3,1,1
1,0,0,0,west,0,0,2,2
1,0,2,2,west,0,0,6,5
1,0,6,5,west,0,0,26,18
1,0,22,16,west,0,0,37,25
1,1,0,0,west,0,1,2,2
1,1,2,2,west,0,1,8,7
1,2,0,0,north,1,3,1,1
1,3,0,0,east,2,3,2,2
1,3,1,1,east,2,3,13,10
1,3,2,2,east,2,3,8,7
1,3,7,6,east,2,3,12,10
1,3,10,8,east,2,3,32,21
1,3,11,9,east,2,3,19,15
1,3,19,15,east,2,3,40,28
1,3,33,22,east,2,3,49,36
1,3,40,28,east,2,3,50,36
1,3,49,36,east,2,3,64,46
1,3,64,46,east,2,3,75,53
1,3,73,51,east,2,3,83,59
1,4,0,0,south,1,3,1,1
2,0,0,0,west,1,0,2,2
2,0,2,2,west,1,0,6,5
2,0,8,7,west,1,0,22,16
2,1,0,0,west,1,1,2,2
2,3,0,0,east,3,3,2,2
2,3,1,1,east,3,3,12,10
2,3,2,2,east,3,3,8,7
2,3,8,7,east,3,3,15,11
2,3,12,10,east,3,3,22,16
2,3,13,10,east,3,3,23,16
2,3,19,15,east,3,3,40,28
2,3,32,21,east,3,3,48,35
2,3,40,28,east,3,3,49,36
2,3,49,36,east,3,3,64,46
2,3,50,36,east,3,3,75,53
2,3,64,46,east,3,3,83,59
2,3,75,53,east,3,3,95,69
2,3,83,59,east,3,3,103,75
2,4,0,0,south,2,3,1,1
3,0,0,0,west,2,0,2,2
3,0,1,1,west,2,0,8,7
3,1,0,0,south,3,0,1,1
3,2,0,0,north,3,3,1,1
3,3,0,0,east,4,3,2,2
3,3,1,1,east,4,3,12,10
3,3,2,2,east,4,3,8,7
3,3,8,7,east,4,3,25,17
3,3,12,10,east,4,3,22,16
3,3,15,11,east,4,3,35,24
3,3,22,16,east,4,3,42,30
3,3,23,16,east,4,3,36,24
3,3,40,28,east,4,3,49,36
3,3,48,35,east,4,3,72,50
3,3,49,36,east,4,3,75,53
3,3,64,46,east,4,3,83,59
3,3,75,53,east,4,3,95,69
3,3,83,59,east,4,3,95,69
3,3,95,69,east,4,3,107,78
4,0,0,0,east,5,0,2,2
4,3,0,0,east,5,3,2,2
4,3,2,2,east,5,3,8,7
4,3,8,7,east,5,3,25,17
4,3,12,10,east,5,3,22,16
4,3,22,16,east,5,3,35,24
4,3,25,17,east,5,3,44,31
4,3,35,24,east,5,3,43,31
4,3,36,24,east,5,3,54,37
4,3,42,30,east,5,3,53,37
