xhat,yhat,gstate,gvar,action,xhat_next,yhat_next,gstate_next,gvar_next
0,0,0,0,east,1,0,2,2
0,0,1,1,east,1,0,4,4
0,0,3,3,east,1,0,9,8
0,0,17,14,east,1,0,16,13
0,0,19,15,east,1,0,19,15
0,0,26,19,east,1,0,26,19
0,0,39,28,east,1,0,55,41
0,1,0,0,south,0,0,1,1
0,1,1,1,south,0,0,3,3
0,1,3,3,south,0,0,17,14
0,1,7,6,south,0,0,19,15
0,1,17,14,south,0,0,26,19
0,1,32,23,south,0,0,39,28
0,2,0,0,south,0,1,1,1
0,2,1,1,south,0,1,3,3
0,2,2,2,south,0,1,7,6
0,2,3,3,south,0,1,17,14
0,2,19,15,south,0,1,32,23
0,3,0,0,south,0,2,1,1
0,3,1,1,south,0,2,3,3
0,3,7,6,south,0,2,19,15
0,4,0,0,south,0,3,1,1
0,4,2,2,south,0,3,7,6
0,6,0,0,north,0,7,1,1
0,7,0,0,east,1,7,2,2
0,7,1,1,east,1,7,6,6
0,7,3,3,east,1,7,7,6
0,8,0,0,south,0,7,1,1
0,8,1,1,south,0,7,3,3
0,9,0,0,south,0,8,1,1
1,0,0,0,east,2,0,2,2
1,0,2,2,east,2,0,5,5
1,0,4,4,east,2,0,11,10
1,0,9,8,east,2,0,19,15
1,0,16,13,east,2,0,31,22
1,0,19,15,east,2,0,28,20
1,0,26,19,east,2,0,54,40
1,0,55,41,east,2,0,69,53
1,2,0,0,west,0,2,2,2
1,4,0,0,west,0,4,2,2
1,7,0,0,east,2,7,2,2
1,7,2,2,east,2,7,8,7
1,7,6,6,east,2,7,12,10
1,7,7,6,east,2,7,19,15
1,8,0,0,east,2,8,2,2
2,0,0,0,east,3,0,2,2
2,0,1,1,east,3,0,8,7
2,0,2,2,east,3,0,5,5
2,0,5,5,east,3,0,14,11
2,0,7,6,east,3,0,19,15
2,0,11,10,east,3,0,21,16
2,0,19,15,east,3,0,28,20
2,0,28,20,east,3,0,43,32
2,0,31,22,east,3,0,56,42
2,0,54,40,east,3,0,69,53
2,0,69,53,east,3,0,90,71
2,1,0,0,south,2,0,1,1
2,1,1,1,south,2,0,7,6
2,2,0,0,south,2,1,1,1
2,4,0,0,east,3,4,2,2
2,6,0,0,north,2,7,1,1
2,7,0,0,east,3,7,2,2
2,7,1,1,east,3,7,13,10
2,7,2,2,east,3,7,8,7
2,7,7,6,east,3,7,11,10
2,7,8,7,east,3,7,15,12
2,7,11,10,east,3,7,21,16
2,7,12,10,east,3,7,22,16
2,7,19,15,east,3,7,28,20
2,8,0,0,south,2,7,1,1
2,8,1,1,south,2,7,7,6
2,8,2,2,south,2,7,11,10
2,9,0,0,south,2,8,1,1
3,0,0,0,east,4,0,2,2
3,0,2,2,east,4,0,5,5
3,0,5,5,east,4,0,24,17
3,0,8,7,east,4,0,21,16
3,0,14,11,east,4,0,23,17
3,0,19,15,east,4,0,28,20
3,0,21,16,east,4,0,33,24
3,0,28,20,east,4,0,43,32
3,0,43,32,east,4,0,82,64
3,0,56,42,east,4,0,71,55
3,0,69,53,east,4,0,79,62
3,0,90,71,east,4,0,101,81
3,2,0,0,east,4,2,2,2
3,4,0,0,east,4,4,2,2
3,4,1,1,east,4,4,11,10
3,4,2,2,east,4,4,8,7
3,5,0,0,south,3,4,1,1
3,7,0,0,east,4,7,2,2
3,7,1,1,east,4,7,11,10
3,7,2,2,east,4,7,8,7
3,7,8,7,east,4,7,25,18
3,7,11,10,east,4,7,28,20
3,7,13,10,east,4,7,21,16
3,7,15,12,east,4,7,34,25
3,7,21,16,east,4,7,35,25
3,7,22,16,east,4,7,44,32
3,7,28,20,east,4,7,43,32
3,8,0,0,south,3,7,1,1
4,0,0,0,east,5,0,2,2
4,0,1,1,east,5,0,8,7
4,0,2,2,east,5,0,5,5
4,0,5,5,east,5,0,23,17
4,0,7,6,east,5,0,19,15
4,0,16,13,east,5,0,31,22
4,0,19,15,east,5,0,28,20
4,0,21,16,east,5,0,33,24
4,0,23,17,east,5,0,29,21
4,0,24,17,east,5,0,30,21
4,0,28,20,east,5,0,42,31
4,0,33,24,east,5,0,45,33
4,0,38,27,east,5,0,54,40
4,0,43,32,east,5,0,65,49
4,0,52,38,east,5,0,63,47
4,0,54,40,east,5,0,69,53
4,0,63,47,east,5,0,76,59
4,0,69,53,east,5,0,90,71
4,0,71,55,east,5,0,82,64
4,0,79,62,east,5,0,101,81
4,0,82,64,east,5,0,93,74
4,0,87,69,east,5,0,120,97
4,0,101,81,east,5,0,115,93
4,0,118,95,east,5,0,129,105
4,0,120,97,east,5,0,131,107
4,0,129,105,east,5,0,138,113
4,0,131,107,east,5,0,141,116
4,1,0,0,south,4,0,1,1
4,1,1,1,south,4,0,7,6
4,1,7,6,south,4,0,16,13
4,1,11,10,south,4,0,19,15
4,1,16,13,south,4,0,38,27
4,1,31,22,south,4,0,54,40
4,1,38,27,south,4,0,52,38
4,1,54,40,south,4,0,63,47
4,1,56,42,south,4,0,69,53
4,1,63,47,south,4,0,87,69
4,1,87,69,south,4,0,118,95
4,1,88,69,south,4,0,120,97
4,1,111,90,south,4,0,131,107
4,1,120,97,south,4,0,129,105
4,1,129,105,south,4,0,145,120
4,1,131,107,south,4,0,138,113
4,2,0,0,south,4,1,1,1
4,2,1,1,south,4,1,7,6
4,2,2,2,south,4,1,11,10
4,2,7,6,south,4,1,16,13
4,2,16,13,south,4,1,38,27
4,2,19,15,south,4,1,31,22
4,2,28,20,south,4,1,56,42
4,2,31,22,south,4,1,54,40
4,2,54,40,south,4,1,63,47
4,2,63,47,south,4,1,87,69
4,2,69,53,south,4,1,88,69
4,2,87,69,south,4,1,120,97
4,2,90,71,south,4,1,111,90
4,2,111,90,south,4,1,131,107
4,2,120,97,south,4,1,129,105
4,2,121,97,south,4,1,145,120
4,2,131,107,south,4,1,138,113
4,2,134,110,south,4,1,146,121
4,3,0,0,south,4,2,1,1
4,3,1,1,south,4,2,7,6
4,3,7,6,south,4,2,16,13
4,3,11,10,south,4,2,19,15
4,3,19,15,south,4,2,31,22
4,3,21,16,south,4,2,28,20
4,3,31,22,south,4,2,54,40
4,3,54,40,south,4,2,63,47
4,3,56,42,south,4,2,69,53
4,3,69,53,south,4,2,87,69
4,3,79,62,south,4,2,90,71
4,3,87,69,south,4,2,120,97
4,3,90,71,south,4,2,111,90
4,3,97,78,south,4,2,121,97
4,3,101,81,south,4,2,134,110
4,3,111,90,south,4,2,131,107
4,3,112,90,south,4,2,138,113
4,3,134,110,south,4,2,147,122
4,3,135,110,south,4,2,146,121
4,4,0,0,south,4,3,1,1
4,4,1,1,south,4,3,7,6
4,4,2,2,south,4,3,11,10
4,4,8,7,south,4,3,21,16
4,4,11,10,south,4,3,19,15
4,4,19,15,south,4,3,31,22
4,4,28,20,south,4,3,56,42
4,4,31,22,south,4,3,54,40
4,4,56,42,south,4,3,69,53
4,4,57,42,south,4,3,79,62
4,4,69,53,south,4,3,87,69
4,4,76,59,south,4,3,97,78
4,4,79,62,south,4,3,90,71
4,4,90,71,south,4,3,111,90
4,4,92,73,south,4,3,101,81
4,4,101,81,south,4,3,112,90
4,4,102,81,south,4,3,135,110
4,4,115,93,south,4,3,134,110
4,4,134,110,south,4,3,147,122
4,4,135,110,south,4,3,141,116
4,4,137,112,south,4,3,143,118
4,5,0,0,south,4,4,1,1
4,5,2,2,south,4,4,11,10
4,5,11,10,south,4,4,19,15
4,5,19,15,south,4,4,31,22
4,5,21,16,south,4,4,28,20
4,5,28,20,south,4,4,56,42
4,5,34,25,south,4,4,57,42
4,5,56,42,south,4,4,79,62
4,5,57,42,south,4,4,69,53
4,5,69,53,south,4,4,76,59
4,5,71,55,south,4,4,92,73
4,5,79,62,south,4,4,90,71
4,5,80,62,south,4,4,101,81
4,5,92,73,south,4,4,102,81
4,5,94,75,south,4,4,115,93
4,5,101,81,south,4,4,135,110
4,5,105,84,south,4,4,137,112
4,5,115,93,south,4,4,134,110
4,5,116,93,south,4,4,143,118
4,7,0,0,east,5,7,2,2
4,7,1,1,east,5,7,11,10
4,7,2,2,east,5,7,8,7
4,7,7,6,east,5,7,12,10
4,7,8,7,east,5,7,25,18
4,7,11,10,east,5,7,21,16
4,7,12,10,east,5,7,22,16
4,7,21,16,east,5,7,34,25
4,7,25,18,east,5,7,47,34
4,7,28,20,east,5,7,43,32
4,7,34,25,east,5,7,46,34
4,7,35,25,east,5,7,60,44
4,7,43,32,east,5,7,82,64
4,7,44,32,east,5,7,59,44
4,8,0,0,south,4,7,1,1
4,8,1,1,south,4,7,7,6
4,8,8,7,south,4,7,12,10
4,9,0,0,south,4,8,1,1
4,9,2,2,south,4,8,8,7
5,0,0,0,east,6,0,2,2
5,0,2,2,east,6,0,5,5
5,0,5,5,east,6,0,23,17
5,0,8,7,east,6,0,21,16
5,0,19,15,east,6,0,28,20
5,0,23,17,east,6,0,29,21
5,0,28,20,east,6,0,43,32
5,0,29,21,east,6,0,48,35
5,0,30,21,east,6,0,49,35
5,0,31,22,east,6,0,56,42
5,0,33,24,east,6,0,45,33
5,0,42,31,east,6,0,58,43
5,0,45,33,east,6,0,67,51
5,0,54,40,east,6,0,69,53
5,0,63,47,east,6,0,76,59
5,0,65,49,east,6,0,93,74
5,0,69,53,east,6,0,79,62
5,0,76,59,east,6,0,111,90
5,0,82,64,east,6,0,104,83
5,0,90,71,east,6,0,101,81
5,0,93,74,east,6,0,110,89
5,0,101,81,east,6,0,115,93
5,0,120,97,east,6,0,131,107
5,0,129,105,east,6,0,138,113
5,0,131,107,east,6,0,141,116
5,2,0,0,east,6,2,2,2
5,2,1,1,east,6,2,11,10
5,3,0,0,south,5,2,1,1
5,4,0,0,west,4,4,2,2
5,5,0,0,west,4,5,2,2
5,5,1,1,west,4,5,11,10
5,5,7,6,west,4,5,19,15
5,5,11,10,west,4,5,21,16
5,5,19,15,west,4,5,28,20
5,5,21,16,west,4,5,34,25
