xhat,yhat,gstate,gvar,action,xhat_next,yhat_next,gstate_next,gvar_next
0,0,0,0,east,1,0,2,2
0,0,1,1,east,1,0,4,4
0,0,3,3,east,1,0,11,8
0,0,21,15,east,1,0,20,14
0,0,34,21,east,1,0,34,21
0,1,0,0,south,0,0,1,1
0,1,1,1,south,0,0,3,3
0,1,3,3,south,0,0,21,15
0,1,21,15,south,0,0,34,21
0,2,0,0,south,0,1,1,1
0,2,1,1,south,0,1,3,3
0,2,3,3,south,0,1,21,15
0,3,0,0,south,0,2,1,1
0,3,1,1,south,0,2,3,3
0,4,0,0,south,0,3,1,1
0,6,0,0,east,1,6,2,2
0,6,1,1,east,1,6,6,6
0,6,3,3,east,1,6,11,8
0,6,12,9,east,1,6,12,9
0,6,22,16,east,1,6,38,24
0,7,0,0,south,0,6,1,1
0,7,1,1,south,0,6,3,3
0,7,3,3,south,0,6,12,9
0,7,13,10,south,0,6,22,16
0,8,0,0,south,0,7,1,1
0,8,1,1,south,0,7,3,3
0,8,4,4,south,0,7,13,10
0,9,0,0,south,0,8,1,1
0,9,2,2,south,0,8,4,4
1,0,0,0,east,2,0,2,2
1,0,1,1,east,2,0,8,7
1,0,2,2,east,2,0,5,5
1,0,4,4,east,2,0,13,10
1,0,11,8,east,2,0,22,16
1,0,20,14,east,2,0,38,24
1,0,34,21,east,2,0,55,35
1,1,0,0,south,1,0,1,1
1,3,0,0,east,2,3,2,2
1,3,1,1,east,2,3,13,10
1,4,0,0,south,1,3,1,1
1,6,0,0,east,2,6,2,2
1,6,2,2,east,2,6,8,7
1,6,6,6,east,2,6,13,10
1,6,11,8,east,2,6,22,16
1,6,12,9,east,2,6,39,25
1,6,38,24,east,2,6,56,36
1,9,0,0,west,0,9,2,2
2,0,0,0,east,3,0,2,2
2,0,2,2,east,3,0,5,5
2,0,5,5,east,3,0,17,11
2,0,8,7,east,3,0,25,17
2,0,13,10,east,3,0,24,17
2,0,22,16,east,3,0,35,22
2,0,38,24,east,3,0,56,36
2,0,55,35,east,3,0,68,45
2,2,0,0,east,3,2,2,2
2,3,0,0,east,3,3,2,2
2,3,2,2,east,3,3,8,7
2,3,13,10,east,3,3,24,17
2,5,0,0,north,2,6,1,1
2,6,0,0,east,3,6,2,2
2,6,1,1,east,3,6,13,10
2,6,2,2,east,3,6,8,7
2,6,8,7,east,3,6,18,12
2,6,13,10,east,3,6,24,17
2,6,22,16,east,3,6,47,30
2,6,39,25,east,3,6,58,37
2,6,56,36,east,3,6,72,48
2,8,0,0,east,3,8,2,2
3,0,0,0,east,4,0,2,2
3,0,2,2,east,4,0,5,5
3,0,5,5,east,4,0,29,18
3,0,17,11,east,4,0,28,18
3,0,24,17,east,4,0,40,26
3,0,25,17,east,4,0,41,26
3,0,35,22,east,4,0,48,31
3,0,56,36,east,4,0,72,48
3,0,68,45,east,4,0,78,52
3,1,0,0,north,3,2,1,1
3,2,0,0,north,3,3,1,1
3,2,1,1,north,3,3,6,6
3,2,2,2,north,3,3,13,10
3,3,0,0,east,4,3,2,2
3,3,1,1,east,4,3,13,10
3,3,2,2,east,4,3,8,7
3,3,6,6,east,4,3,23,16
3,3,8,7,east,4,3,31,19
3,3,13,10,east,4,3,24,17
3,3,24,17,east,4,3,42,27
3,4,0,0,south,3,3,1,1
3,6,0,0,north,3,7,1,1
3,6,2,2,north,3,7,13,10
3,6,8,7,north,3,7,26,17
3,6,13,10,north,3,7,22,16
3,6,18,12,north,3,7,24,17
3,6,24,17,north,3,7,56,36
3,6,47,30,north,3,7,68,45
3,6,58,37,north,3,7,69,46
3,6,72,48,north,3,7,78,52
3,7,0,0,east,4,7,2,2
3,7,1,1,east,4,7,15,10
3,7,13,10,east,4,7,24,17
3,7,22,16,east,4,7,35,22
3,7,24,17,east,4,7,48,31
3,7,26,17,east,4,7,42,27
3,7,56,36,east,4,7,72,48
3,7,68,45,east,4,7,78,52
3,7,69,46,east,4,7,88,58
3,7,78,52,east,4,7,97,65
3,8,0,0,east,4,8,2,2
3,8,1,1,east,4,8,9,7
3,8,2,2,east,4,8,8,7
3,9,0,0,south,3,8,1,1
4,0,0,0,north,4,1,1,1
4,0,2,2,north,4,1,9,7
4,0,5,5,north,4,1,18,12
4,0,28,18,north,4,1,28,18
4,0,29,18,north,4,1,30,18
4,0,32,20,north,4,1,32,20
4,0,36,23,north,4,1,36,23
4,0,37,23,north,4,1,64,41
4,0,40,26,north,4,1,59,38
4,0,41,26,north,4,1,40,26
4,0,48,31,north,4,1,72,48
4,0,51,33,north,4,1,63,40
4,0,52,33,north,4,1,67,44
4,0,67,44,north,4,1,84,55
4,0,72,48,north,4,1,78,52
4,0,78,52,north,4,1,87,57
4,1,0,0,north,4,2,1,1
4,1,1,1,north,4,2,6,6
4,1,2,2,north,4,2,13,10
4,1,8,7,north,4,2,24,17
4,1,9,7,north,4,2,14,10
4,1,18,12,north,4,2,26,17
4,1,28,18,north,4,2,59,38
4,1,30,18,north,4,2,40,26
4,1,32,20,north,4,2,43,28
4,1,36,23,north,4,2,63,40
4,1,40,26,north,4,2,71,47
4,1,59,38,north,4,2,70,47
4,1,63,40,north,4,2,84,55
4,1,64,41,north,4,2,67,44
4,1,67,44,north,4,2,85,55
4,1,72,48,north,4,2,78,52
4,1,78,52,north,4,2,87,57
4,1,84,55,north,4,2,92,61
4,1,87,57,north,4,2,105,72
4,2,0,0,north,4,3,1,1
4,2,1,1,north,4,3,6,6
4,2,6,6,north,4,3,11,8
4,2,13,10,north,4,3,23,16
4,2,14,10,north,4,3,22,16
4,2,24,17,north,4,3,35,22
4,2,26,17,north,4,3,48,31
4,2,40,26,north,4,3,71,47
4,2,43,28,north,4,3,74,49
4,2,59,38,north,4,3,70,47
4,2,63,40,north,4,3,84,55
4,2,67,44,north,4,3,85,55
4,2,70,47,north,4,3,76,51
4,2,71,47,north,4,3,77,51
4,2,78,52,north,4,3,97,65
4,2,84,55,north,4,3,92,61
4,2,85,55,north,4,3,102,69
4,2,87,57,north,4,3,105,72
4,2,92,61,north,4,3,110,75
4,3,0,0,east,5,3,2,2
4,3,1,1,east,5,3,13,10
4,3,2,2,east,5,3,8,7
4,3,6,6,east,5,3,23,16
4,3,8,7,east,5,3,31,19
4,3,11,8,east,5,3,22,16
4,3,13,10,east,5,3,24,17
4,3,22,16,east,5,3,57,36
4,3,23,16,east,5,3,35,22
4,3,24,17,east,5,3,42,27
4,3,31,19,east,5,3,50,32
4,3,35,22,east,5,3,56,36
4,3,42,27,east,5,3,60,39
4,3,48,31,east,5,3,72,48
4,3,70,47,east,5,3,81,53
4,3,71,47,east,5,3,82,53
4,3,74,49,east,5,3,84,55
4,3,76,51,east,5,3,100,67
4,3,77,51,east,5,3,89,59
4,3,84,55,east,5,3,95,63
4,3,85,55,east,5,3,104,71
4,3,92,61,east,5,3,102,69
4,3,97,65,east,5,3,108,74
4,3,102,69,east,5,3,115,78
4,4,0,0,east,5,4,2,2
4,6,0,0,north,4,7,1,1
4,7,0,0,east,5,7,2,2
4,7,1,1,east,5,7,16,10
4,7,2,2,east,5,7,8,7
4,7,6,6,east,5,7,13,10
4,7,13,10,east,5,7,35,22
4,7,15,10,east,5,7,26,17
4,7,16,10,east,5,7,24,17
4,7,24,17,east,5,7,42,27
4,7,35,22,east,5,7,56,36
4,7,42,27,east,5,7,60,39
4,7,48,31,east,5,7,66,43
4,7,72,48,east,5,7,83,54
4,7,78,52,east,5,7,97,65
4,7,88,58,east,5,7,99,66
4,7,97,65,east,5,7,108,74
4,8,0,0,south,4,7,1,1
4,8,1,1,south,4,7,6,6
4,8,2,2,south,4,7,15,10
4,8,8,7,south,4,7,24,17
4,8,9,7,south,4,7,13,10
4,8,10,7,south,4,7,16,10
4,9,0,0,south,4,8,1,1
4,9,2,2,south,4,8,10,7
5,0,0,0,west,4,0,2,2
5,0,2,2,west,4,0,5,5
5,0,5,5,west,4,0,32,20
5,0,32,20,west,4,0,36,23
5,0,33,20,west,4,0,37,23
5,0,43,28,west,4,0,51,33
5,0,44,28,west,4,0,52,33
5,0,48,31,west,4,0,67,44
5,1,0,0,west,4,1,2,2
5,1,2,2,west,4,1,8,7
5,2,0,0,north,5,3,1,1
5,2,2,2,north,5,3,13,10
5,2,8,7,north,5,3,24,17
5,2,31,19,north,5,3,42,27
5,3,0,0,north,5,4,1,1
5,3,1,1,north,5,4,6,6
5,3,2,2,north,5,4,13,10
5,3,8,7,north,5,4,24,17
5,3,13,10,north,5,4,22,16
5,3,22,16,north,5,4,47,30
5,3,23,16,north,5,4,38,24
5,3,24,17,north,5,4,35,22
5,3,31,19,north,5,4,42,27
5,3,35,22,north,5,4,57,36
5,3,42,27,north,5,4,56,36
5,3,50,32,north,5,4,60,39
5,3,56,36,north,5,4,78,52
5,3,57,36,north,5,4,68,45
5,3,60,39,north,5,4,72,48
5,3,72,48,north,5,4,79,52
5,3,81,53,north,5,4,100,67
5,3,82,53,north,5,4,89,59
5,3,84,55,north,5,4,92,61
5,3,89,59,north,5,4,107,73
5,3,95,63,north,5,4,102,69
5,3,100,67,north,5,4,107,73
5,3,102,69,north,5,4,121,83
5,3,104,71,north,5,4,115,78
5,4,0,0,east,6,4,2,2
5,4,1,1,east,6,4,13,10
5,4,2,2,east,6,4,8,7
5,4,6,6,east,6,4,22,16
5,4,13,10,east,6,4,24,17
5,4,22,16,east,6,4,35,22
5,4,24,17,east,6,4,42,27
5,4,35,22,east,6,4,57,36
5,4,38,24,east,6,4,56,36
5,4,42,27,east,6,4,60,39
5,4,47,30,east,6,4,68,45
5,4,56,36,east,6,4,72,48
5,4,57,36,east,6,4,80,52
5,4,60,39,east,6,4,66,43
5,4,68,45,east,6,4,78,52
5,4,72,48,east,6,4,93,62
5,4,78,52,east,6,4,91,60
5,4,79,52,east,6,4,90,60
5,4,89,59,east,6,4,100,67
5,4,92,61,east,6,4,102,69
5,4,100,67,east,6,4,119,81
