xhat,yhat,gstate,gvar,action,xhat_next,yhat_next,gstate_next,gvar_next
0,0,0,0,east,1,0,3,2
0,0,1,1,east,1,0,5,4
0,0,4,3,east,1,0,11,8
0,0,19,14,east,1,0,18,13
0,0,33,22,east,1,0,32,21
0,0,40,28,east,1,0,59,43
0,0,49,34,east,1,0,64,47
0,0,65,48,east,1,0,75,55
0,0,74,54,east,1,0,72,53
0,0,84,62,east,1,0,82,61
0,0,90,68,east,1,0,106,82
0,1,0,0,south,0,0,1,1
0,1,1,1,south,0,0,4,3
0,1,4,3,south,0,0,19,14
0,1,20,15,south,0,0,33,22
0,1,28,19,south,0,0,40,28
0,1,39,27,south,0,0,49,34
0,1,59,43,south,0,0,74,54
0,1,60,43,south,0,0,65,48
0,1,66,49,south,0,0,84,62
0,1,82,61,south,0,0,90,68
0,2,0,0,south,0,1,1,1
0,2,1,1,south,0,1,4,3
0,2,7,6,south,0,1,20,15
0,2,22,16,south,0,1,28,19
0,2,28,19,south,0,1,39,27
0,2,39,27,south,0,1,59,43
0,2,50,35,south,0,1,60,43
0,2,62,45,south,0,1,66,49
0,2,77,57,south,0,1,82,61
0,3,0,0,south,0,2,1,1
0,3,3,2,south,0,2,7,6
0,3,9,7,south,0,2,22,16
0,3,22,16,south,0,2,28,19
0,3,28,19,south,0,2,39,27
0,3,36,24,south,0,2,50,35
0,3,54,38,south,0,2,62,45
0,3,62,45,south,0,2,77,57
1,0,0,0,east,2,0,3,2
1,0,1,1,east,2,0,9,7
1,0,3,2,east,2,0,6,5
1,0,5,4,east,2,0,12,9
1,0,11,8,east,2,0,20,15
1,0,18,13,east,2,0,32,21
1,0,32,21,east,2,0,50,35
1,0,59,43,east,2,0,66,49
1,0,64,47,east,2,0,75,55
1,0,72,53,east,2,0,81,60
1,0,75,55,east,2,0,82,61
1,0,82,61,east,2,0,102,78
1,1,0,0,south,1,0,1,1
1,3,0,0,west,0,3,3,2
1,3,3,2,west,0,3,9,7
1,3,12,9,west,0,3,22,16
1,3,20,15,west,0,3,28,19
1,3,22,16,west,0,3,36,24
1,3,36,24,west,0,3,54,38
1,3,50,35,west,0,3,62,45
2,0,0,0,east,3,0,3,2
2,0,3,2,east,3,0,6,5
2,0,6,5,east,3,0,15,10
2,0,9,7,east,3,0,23,16
2,0,12,9,east,3,0,22,16
2,0,20,15,east,3,0,28,19
2,0,32,21,east,3,0,50,35
2,0,50,35,east,3,0,62,45
2,0,66,49,east,3,0,77,57
2,0,75,55,east,3,0,82,61
2,0,81,60,east,3,0,102,78
2,0,82,61,east,3,0,92,70
2,2,0,0,north,2,3,1,1
2,2,3,2,north,2,3,12,9
2,2,9,7,north,2,3,22,16
2,2,22,16,north,2,3,28,19
2,3,0,0,west,1,3,3,2
2,3,1,1,west,1,3,12,9
2,3,7,6,west,1,3,20,15
2,3,12,9,west,1,3,22,16
2,3,22,16,west,1,3,36,24
2,3,28,19,west,1,3,50,35
2,4,0,0,south,2,3,1,1
2,4,1,1,south,2,3,7,6
2,5,0,0,south,2,4,1,1
3,0,0,0,east,4,0,3,2
3,0,3,2,east,4,0,6,5
3,0,6,5,east,4,0,26,17
3,0,15,10,east,4,0,25,17
3,0,22,16,east,4,0,34,23
3,0,23,16,east,4,0,35,23
3,0,28,19,east,4,0,41,29
3,0,50,35,east,4,0,62,45
3,0,62,45,east,4,0,77,57
3,0,77,57,east,4,0,86,64
3,0,82,61,east,4,0,92,70
3,2,0,0,west,2,2,3,2
3,2,3,2,west,2,2,9,7
3,2,12,9,west,2,2,22,16
4,0,0,0,east,5,0,3,2
4,0,3,2,east,5,0,6,5
4,0,6,5,east,5,0,25,17
4,0,25,17,east,5,0,30,20
4,0,26,17,east,5,0,31,20
4,0,34,23,east,5,0,43,30
4,0,35,23,east,5,0,44,30
4,0,41,29,east,5,0,57,41
4,0,62,45,east,5,0,68,51
4,0,77,57,east,5,0,86,64
4,0,86,64,east,5,0,98,74
4,2,0,0,west,3,2,3,2
4,2,1,1,west,3,2,12,9
4,3,0,0,south,4,2,1,1
5,0,0,0,east,6,0,3,2
5,0,3,2,east,6,0,6,5
5,0,6,5,east,6,0,25,17
5,0,25,17,east,6,0,30,20
5,0,30,20,east,6,0,45,31
5,0,31,20,east,6,0,46,31
5,0,43,30,east,6,0,58,42
5,0,44,30,east,6,0,55,39
5,0,57,41,east,6,0,79,59
5,0,68,51,east,6,0,85,63
5,0,86,64,east,6,0,97,73
5,1,0,0,east,6,1,3,2
5,4,0,0,north,5,5,1,1
5,5,0,0,north,5,6,1,1
5,5,1,1,north,5,6,7,6
5,6,0,0,east,6,6,3,2
5,6,1,1,east,6,6,12,9
5,6,7,6,east,6,6,20,15
5,7,0,0,east,6,7,3,2
5,7,1,1,east,6,7,12,9
5,8,0,0,south,5,7,1,1
6,0,0,0,north,6,1,1,1
6,0,3,2,north,6,1,9,7
6,0,6,5,north,6,1,16,11
6,0,17,12,north,6,1,17,12
6,0,22,16,north,6,1,22,16
6,0,24,16,north,6,1,42,29
6,0,25,17,north,6,1,25,17
6,0,28,19,north,6,1,41,29
6,0,30,20,north,6,1,30,20
6,0,41,29,north,6,1,50,35
6,0,45,31,north,6,1,58,42
6,0,46,31,north,6,1,55,39
6,0,55,39,north,6,1,71,52
6,0,58,42,north,6,1,69,52
6,0,79,59,north,6,1,79,59
6,0,85,63,north,6,1,85,63
6,1,0,0,north,6,2,1,1
6,1,1,1,north,6,2,7,6
6,1,3,2,north,6,2,13,9
6,1,9,7,north,6,2,12,9
6,1,16,11,north,6,2,22,16
6,1,17,12,north,6,2,37,25
6,1,22,16,north,6,2,41,29
6,1,25,17,north,6,2,34,23
6,1,30,20,north,6,2,53,37
6,1,41,29,north,6,2,50,35
6,1,42,29,north,6,2,51,35
6,1,50,35,north,6,2,59,43
6,1,55,39,north,6,2,70,52
6,1,58,42,north,6,2,69,52
6,1,69,52,north,6,2,79,59
6,1,71,52,north,6,2,80,59
6,1,79,59,north,6,2,97,73
6,2,0,0,north,6,3,1,1
6,2,1,1,north,6,3,7,6
6,2,7,6,north,6,3,11,8
6,2,12,9,north,6,3,20,15
6,2,13,9,north,6,3,21,15
6,2,22,16,north,6,3,41,29
6,2,34,23,north,6,3,61,44
6,2,37,25,north,6,3,52,36
6,2,41,29,north,6,3,50,35
6,2,50,35,north,6,3,64,47
6,2,51,35,north,6,3,66,49
6,2,53,37,north,6,3,67,50
6,2,59,43,north,6,3,75,55
6,2,69,52,north,6,3,88,66
6,2,70,52,north,6,3,79,59
6,2,79,59,north,6,3,97,73
6,2,80,59,north,6,3,85,63
6,3,0,0,east,7,3,3,2
6,3,1,1,east,7,3,12,9
6,3,7,6,east,7,3,21,15
6,3,11,8,east,7,3,20,15
6,3,20,15,east,7,3,50,35
6,3,21,15,east,7,3,28,19
6,3,41,29,east,7,3,62,45
6,3,50,35,east,7,3,66,49
6,3,52,36,east,7,3,63,46
6,3,61,44,east,7,3,67,50
6,3,64,47,east,7,3,82,61
6,3,66,49,east,7,3,77,57
6,3,67,50,east,7,3,79,59
6,3,75,55,east,7,3,83,61
6,3,79,59,east,7,3,88,66
6,3,85,63,east,7,3,104,80
6,3,88,66,east,7,3,104,80
6,5,0,0,north,6,6,1,1
6,6,0,0,north,6,7,1,1
6,6,1,1,north,6,7,7,6
6,6,3,2,north,6,7,12,9
6,6,12,9,north,6,7,20,15
6,6,20,15,north,6,7,32,21
6,7,0,0,east,7,7,3,2
6,7,1,1,east,7,7,12,9
6,7,3,2,east,7,7,9,7
6,7,7,6,east,7,7,20,15
6,7,12,9,east,7,7,22,16
6,7,20,15,east,7,7,28,19
6,7,32,21,east,7,7,50,35
6,8,0,0,east,7,8,3,2
7,0,0,0,west,6,0,3,2
7,0,3,2,west,6,0,6,5
7,0,6,5,west,6,0,17,12
7,0,9,7,west,6,0,22,16
7,0,12,9,west,6,0,24,16
7,0,20,15,west,6,0,28,19
7,0,21,15,west,6,0,41,29
7,1,0,0,west,6,1,3,2
7,3,0,0,north,7,4,1,1
7,3,3,2,north,7,4,12,9
7,3,12,9,north,7,4,20,15
7,3,20,15,north,7,4,39,27
7,3,21,15,north,7,4,32,21
7,3,28,19,north,7,4,50,35
7,3,50,35,north,7,4,59,43
7,3,62,45,north,7,4,66,49
7,3,63,46,north,7,4,78,58
7,3,66,49,north,7,4,82,61
7,3,67,50,north,7,4,76,56
7,3,77,57,north,7,4,83,61
7,3,79,59,north,7,4,85,63
7,3,82,61,north,7,4,89,67
7,3,83,61,north,7,4,100,76
7,3,88,66,north,7,4,104,80
7,4,0,0,north,7,5,1,1
7,4,1,1,north,7,5,7,6
7,4,12,9,north,7,5,20,15
7,4,20,15,north,7,5,32,21
7,4,32,21,north,7,5,48,33
7,4,39,27,north,7,5,56,40
7,4,50,35,north,7,5,59,43
7,4,59,43,north,7,5,64,47
7,4,66,49,north,7,5,82,61
7,4,76,56,north,7,5,91,69
7,4,78,58,north,7,5,84,62
7,4,82,61,north,7,5,89,67
7,4,83,61,north,7,5,100,76
7,4,85,63,north,7,5,103,79
7,4,89,67,north,7,5,100,76
7,5,0,0,north,7,6,1,1
7,5,1,1,north,7,6,7,6
7,5,3,2,north,7,6,12,9
7,5,7,6,north,7,6,18,13
7,5,9,7,north,7,6,14,9
7,5,12,9,north,7,6,20,15
7,5,20,15,north,7,6,32,21
7,5,32,21,north,7,6,48,33
