xhat,yhat,gstate,gvar,action,xhat_next,yhat_next,gstate_next,gvar_next
0,0,0,0,north,0,1,1,1
0,0,3,2,north,0,1,6,4
0,0,7,5,north,0,1,17,11
0,0,25,16,north,0,1,25,16
0,0,28,18,north,0,1,27,17
0,0,32,20,north,0,1,32,20
0,0,33,21,north,0,1,33,21
0,0,39,24,north,0,1,50,31
0,0,55,34,north,0,1,70,45
0,0,56,35,north,0,1,72,47
0,0,59,37,north,0,1,78,53
0,0,70,45,north,0,1,93,67
0,0,72,47,north,0,1,77,52
0,0,84,59,north,0,1,96,70
0,0,93,67,north,0,1,105,77
0,0,95,69,north,0,1,109,80
0,0,108,79,north,0,1,108,79
0,0,110,81,north,0,1,118,88
0,0,117,87,north,0,1,135,103
0,0,119,89,north,0,1,119,89
0,0,122,92,north,0,1,132,101
0,1,0,0,north,0,2,1,1
0,1,1,1,north,0,2,4,3
0,1,3,2,north,0,2,9,6
0,1,6,4,north,0,2,14,10
0,1,17,11,north,0,2,25,16
0,1,25,16,north,0,2,32,20
0,1,27,17,north,0,2,39,24
0,1,32,20,north,0,2,66,43
0,1,33,21,north,0,2,68,44
0,1,50,31,north,0,2,67,43
0,1,70,45,north,0,2,82,57
0,1,72,47,north,0,2,77,52
0,1,77,52,north,0,2,106,78
0,1,78,53,north,0,2,95,69
0,1,93,67,north,0,2,104,76
0,1,96,70,north,0,2,117,87
0,1,105,77,north,0,2,114,85
0,1,108,79,north,0,2,116,86
0,1,109,80,north,0,2,130,100
0,1,118,88,north,0,2,136,104
0,1,132,101,north,0,2,144,112
0,1,135,103,north,0,2,145,113
0,2,0,0,north,0,3,1,1
0,2,1,1,north,0,3,4,3
0,2,4,3,north,0,3,12,8
0,2,9,6,north,0,3,24,15
0,2,14,10,north,0,3,22,15
0,2,25,16,north,0,3,32,20
0,2,32,20,north,0,3,48,30
0,2,39,24,north,0,3,66,43
0,2,66,43,north,0,3,88,63
0,2,67,43,north,0,3,81,56
0,2,68,44,north,0,3,82,57
0,2,77,52,north,0,3,91,66
0,2,82,57,north,0,3,104,76
0,2,95,69,north,0,3,122,92
0,2,104,76,north,0,3,114,85
0,2,106,78,north,0,3,116,86
0,2,114,85,north,0,3,124,94
0,2,116,86,north,0,3,126,96
0,2,117,87,north,0,3,135,103
0,2,130,100,north,0,3,144,112
0,3,0,0,north,0,4,1,1
0,3,1,1,north,0,4,4,3
0,3,3,2,north,0,4,9,6
0,3,4,3,north,0,4,20,13
0,3,10,7,north,0,4,25,16
0,3,12,8,north,0,4,19,13
0,3,22,15,north,0,4,35,22
0,3,24,15,north,0,4,36,22
0,3,32,20,north,0,4,48,30
0,3,48,30,north,0,4,88,63
0,3,66,43,north,0,4,81,56
0,3,81,56,north,0,4,103,75
0,3,82,57,north,0,4,90,65
0,3,88,63,north,0,4,100,73
0,3,91,66,north,0,4,116,86
0,3,104,76,north,0,4,114,85
0,3,114,85,north,0,4,124,94
0,3,116,86,north,0,4,126,96
0,3,122,92,north,0,4,130,100
0,4,0,0,north,0,5,1,1
0,4,1,1,north,0,5,4,3
0,4,3,2,north,0,5,9,6
0,4,4,3,north,0,5,19,13
0,4,9,6,north,0,5,22,15
0,4,10,7,north,0,5,25,16
0,4,19,13,north,0,5,30,19
0,4,20,13,north,0,5,31,19
0,4,25,16,north,0,5,32,20
0,4,35,22,north,0,5,44,27
0,4,36,22,north,0,5,45,27
0,4,48,30,north,0,5,74,49
0,4,81,56,north,0,5,88,63
0,4,88,63,north,0,5,99,72
0,4,90,65,north,0,5,114,85
0,4,100,73,north,0,5,120,90
0,4,103,75,north,0,5,111,82
0,4,114,85,north,0,5,124,94
0,4,116,86,north,0,5,126,96
0,5,0,0,north,0,6,1,1
0,5,1,1,north,0,6,4,3
0,5,3,2,north,0,6,9,6
0,5,4,3,north,0,6,19,13
0,5,9,6,north,0,6,22,15
0,5,10,7,north,0,6,25,16
0,5,19,13,north,0,6,30,19
0,5,22,15,north,0,6,35,22
0,5,25,16,north,0,6,32,20
0,5,27,17,north,0,6,39,24
0,5,30,19,north,0,6,42,26
0,5,31,19,north,0,6,43,26
0,5,32,20,north,0,6,47,29
0,5,44,27,north,0,6,73,48
0,5,45,27,north,0,6,60,38
0,5,74,49,north,0,6,99,72
0,5,88,63,north,0,6,111,82
0,5,99,72,north,0,6,120,90
0,5,111,82,north,0,6,128,98
0,5,114,85,north,0,6,124,94
0,5,120,90,north,0,6,127,97
0,6,0,0,north,0,7,1,1
0,6,1,1,north,0,7,4,3
0,6,4,3,north,0,7,19,13
0,6,9,6,north,0,7,22,15
0,6,19,13,north,0,7,30,19
0,6,22,15,north,0,7,35,22
0,6,25,16,north,0,7,32,20
0,6,30,19,north,0,7,42,26
0,6,32,20,north,0,7,47,29
0,6,35,22,north,0,7,44,27
0,6,39,24,north,0,7,66,43
0,6,42,26,north,0,7,79,54
0,6,43,26,north,0,7,58,36
0,6,47,29,north,0,7,62,40
0,6,60,38,north,0,7,73,48
0,6,73,48,north,0,7,97,71
0,6,99,72,north,0,7,120,90
