k,representation_mean_l1,representation_max_l1,transition_mean_l1,transition_max_l1,selected
10,1.2875733637467417,1.9999999999999996,1.237308813535921,1.9989511539302407,0
20,1.1279130456603286,1.9999939999999998,1.0902432407678349,1.99966446413534,0
30,0.8597708684343105,1.9999999466556129,0.82104243741469,1.9947703683659999,0
50,0.5435945976968013,1.9998282531948604,0.5271893978858715,1.9906139386387198,0
75,0.11371527915787553,0.38197302020602003,0.11617943312169261,0.32197302020602003,0
100,0.07620573819582806,0.22903568302343053,0.078516727705229,0.22903568302343053,0
150,0.05027407107792313,0.15959111099988835,0.05223785936858008,0.15959111099988835,0
200,0.039002129761211174,0.11070083729000008,0.04092752978198507,0.11070083729000008,0
300,0.027353163141350716,0.06000000000000003,0.029681307381853733,0.060000000000000005,0
400,0.018844023595342114,0.05502781730000001,0.020974478492267735,0.05502781730000001,1
500,0.010997908313157,0.05066260568053014,0.012241302405886533,0.05066260568053014,0
699,0.0,0.0,0.0,0.0,0
