model,step,threshold_rounded_mean,selected_as_threshold,width_mean,width_median,width_q1,width_q3,width_min,width_max,width_stddev,total_mape_start_states,contributing_start_states,contributing_fraction
15,6,17,1,17.125,17.0,17.0,18.0,15,18,0.8569568250501305,63,48,0.7619047619047619
15,7,18,1,17.795454545454547,18.0,18.0,18.0,16,18,0.4562468159064712,63,44,0.6984126984126984
15,8,18,0,18.0,18.0,18.0,18.0,18,18,0.0,63,38,0.6031746031746031
15,9,18,0,18.0,18.0,18.0,18.0,18,18,0.0,63,32,0.5079365079365079
15,10,18,0,18.0,18,18.0,18.0,18,18,0.0,63,27,0.42857142857142855
16,1,5,1,5.266666666666667,5,5.0,6.0,3,6,0.8379870059984357,75,75,1.0
16,2,10,1,9.821917808219178,10,9.0,11.0,6,12,1.6580436214945484,75,73,0.9733333333333334
16,3,14,1,13.56338028169014,14,12.0,15.0,9,17,1.9768547672701688,75,71,0.9466666666666667
16,4,16,1,15.898550724637682,16,15.0,17.0,12,18,1.7290772234138243,75,69,0.92
16,5,17,1,17.074626865671643,18,16.0,18.0,14,18,1.0969895417918185,75,67,0.8933333333333333
16,6,18,1,17.753846153846155,18,18.0,18.0,16,18,0.497092136043185,75,65,0.8666666666666667
16,7,18,0,17.983870967741936,18.0,18.0,18.0,17,18,0.12597176896623638,75,62,0.8266666666666667
16,8,18,0,18.0,18.0,18.0,18.0,18,18,0.0,75,58,0.7733333333333333
16,9,18,0,18.0,18,18.0,18.0,18,18,0.0,75,53,0.7066666666666667
16,10,18,0,18.0,18.0,18.0,18.0,18,18,0.0,75,48,0.64
17,1,5,1,5.279411764705882,6.0,5.0,6.0,3,6,0.9210861273405645,68,68,1.0
17,2,10,1,9.833333333333334,10.0,8.0,12.0,6,12,1.9194643613111013,68,66,0.9705882352941176
17,3,13,1,13.46875,14.0,12.0,15.0,9,17,2.4935463575999544,68,64,0.9411764705882353
17,4,16,1,15.82258064516129,16.5,14.0,18.0,12,18,2.0440645273286884,68,62,0.9117647058823529
17,5,17,1,17.166666666666668,18.0,16.0,18.0,14,18,1.1571036638473187,68,60,0.8823529411764706
17,6,18,1,17.771929824561404,18,18.0,18.0,15,18,0.5928682543409053,68,57,0.8382352941176471
17,7,18,0,17.98148148148148,18.0,18.0,18.0,17,18,0.13481684980149108,68,54,0.7941176470588235
17,8,18,0,18.0,18,18.0,18.0,18,18,0.0,68,51,0.75
17,9,18,0,18.0,18,18.0,18.0,18,18,0.0,68,49,0.7205882352941176
17,10,18,0,18.0,18,18.0,18.0,18,18,0.0,68,47,0.6911764705882353
18,1,5,1,5.342465753424658,6,5.0,6.0,3,6,0.8145791094421099,73,73,1.0
18,2,10,1,9.916666666666666,10.0,9.0,11.0,6,12,1.6729049916570609,73,72,0.9863013698630136
18,3,13,1,13.457142857142857,14.0,12.0,15.0,9,17,2.102282530188246,73,70,0.958904109589041
18,4,16,1,15.779411764705882,16.0,14.75,17.0,12,18,1.7892291162536527,73,68,0.9315068493150684
18,5,17,1,17.184615384615384,18,17.0,18.0,14,18,1.1079059623008511,73,65,0.8904109589041096
18,6,18,1,17.822580645161292,18.0,18.0,18.0,15,18,0.5243796195809309,73,62,0.8493150684931506
18,7,18,0,17.983050847457626,18,18.0,18.0,17,18,0.12908090009938827,73,59,0.8082191780821918
18,8,18,0,18.0,18.0,18.0,18.0,18,18,0.0,73,54,0.7397260273972602
18,9,18,0,18.0,18.0,18.0,18.0,18,18,0.0,73,52,0.7123287671232876
18,10,18,0,18.0,18,18.0,18.0,18,18,0.0,73,49,0.6712328767123288
19,1,5,1,5.119402985074627,5,5.0,6.0,3,6,0.8555767551024784,67,67,1.0
19,2,9,1,9.36923076923077,9,8.0,11.0,6,12,1.6131119544268442,67,65,0.9701492537313433
19,3,13,1,12.666666666666666,12,11.0,14.0,9,17,2.0,67,63,0.9402985074626866
19,4,15,1,15.065573770491802,15,13.0,17.0,12,18,1.845409479274792,67,61,0.9104477611940298
19,5,17,1,16.74576271186441,17,16.0,18.0,14,18,1.3224684205512651,67,59,0.8805970149253731
19,6,18,1,17.589285714285715,18.0,17.0,18.0,15,18,0.7506374841779894,67,56,0.835820895522388
19,7,18,0,17.962962962962962,18.0,18.0,18.0,17,18,0.18885257457751053,67,54,0.8059701492537313
19,8,18,0,18.0,18.0,18.0,18.0,18,18,0.0,67,50,0.746268656716418
19,9,18,0,18.0,18.0,18.0,18.0,18,18,0.0,67,46,0.6865671641791045
19,10,18,0,18.0,18.0,18.0,18.0,18,18,0.0,67,44,0.6567164179104478
20,1,5,1,5.122448979591836,5,5.0,6.0,3,6,0.8483514159521032,49,49,1.0
20,2,10,1,9.520833333333334,9.5,8.0,10.25,6,12,1.5273831561057478,49,48,0.9795918367346939
20,3,13,1,12.872340425531915,13,12.0,14.0,9,17,1.8521640164102435,49,47,0.9591836734693877
20,4,15,1,15.08695652173913,15.0,14.0,16.0,12,18,1.6788464848963325,49,46,0.9387755102040817
20,5,16,1,16.355555555555554,16,15.0,18.0,14,18,1.416655773378598,49,45,0.9183673469387755
20,6,17,1,17.186046511627907,18,16.5,18.0,15,18,1.0174252490338307,49,43,0.8775510204081632
20,7,18,1,17.75609756097561,18,18.0,18.0,16,18,0.5310131965140791,49,41,0.8367346938775511
20,8,18,0,17.974358974358974,18,18.0,18.0,17,18,0.15806189751202504,49,39,0.7959183673469388
20,9,18,0,18.0,18,18.0,18.0,18,18,0.0,49,37,0.7551020408163265
20,10,18,0,18.0,18,18.0,18.0,18,18,0.0,49,33,0.673469387755102
21,1,5,1,5.222222222222222,5.0,5.0,6.0,3,6,0.8695819912499182,72,72,1.0
21,2,10,1,9.657142857142857,10.0,9.0,11.0,6,12,1.602548989986304,72,70,0.9722222222222222
21,3,13,1,12.838235294117647,13.0,12.0,14.0,9,17,1.7707616682696599,72,68,0.9444444444444444
21,4,15,1,14.876923076923077,15,14.0,16.0,12,18,1.5542269145060987,72,65,0.9027777777777778
21,5,16,1,16.19047619047619,16,15.0,17.0,14,18,1.2325884862423604,72,63,0.875
