model,threshold,total_starts,reached_count,not_reached_count,reached_fraction,not_reached_fraction,first_step_min,first_step_q1,first_step_median,first_step_mean,first_step_q3,first_step_max,first_step_stddev
10,1,70,70,0,1.0,0.0,1,1.0,1.0,1.0,1.0,1,0.0
10,2,70,70,0,1.0,0.0,1,1.0,1.0,1.0,1.0,1,0.0
10,3,70,70,0,1.0,0.0,1,1.0,1.0,1.0,1.0,1,0.0
10,4,70,68,2,0.9714285714285714,0.02857142857142858,1,1.0,1.0,1.0,1.0,1,0.0
10,5,70,68,2,0.9714285714285714,0.02857142857142858,1,1.0,1.0,1.1323529411764706,1.0,2,0.33887407711185036
10,6,70,68,2,0.9714285714285714,0.02857142857142858,1,1.0,1.0,1.4411764705882353,2.0,2,0.49652773576865095
10,7,70,66,4,0.9428571428571428,0.05714285714285716,2,2.0,2.0,2.0,2.0,2,0.0
10,8,70,66,4,0.9428571428571428,0.05714285714285716,2,2.0,2.0,2.0454545454545454,2.0,3,0.20829889522526546
10,9,70,66,4,0.9428571428571428,0.05714285714285716,2,2.0,2.0,2.196969696969697,2.0,3,0.3977092348002026
10,10,70,63,7,0.9,0.09999999999999998,2,2.0,2.0,2.3333333333333335,3.0,3,0.4714045207910317
10,11,70,63,7,0.9,0.09999999999999998,2,2.0,3.0,2.619047619047619,3.0,4,0.5753831415997416
10,12,70,63,7,0.9,0.09999999999999998,2,3.0,3.0,2.9047619047619047,3.0,4,0.5832118435198043
10,13,70,60,10,0.8571428571428571,0.1428571428571429,3,3.0,3.0,3.316666666666667,4.0,4,0.46517619123176207
10,14,70,60,10,0.8571428571428571,0.1428571428571429,3,3.0,3.0,3.55,4.0,5,0.6435578192102608
10,15,70,59,11,0.8428571428571429,0.15714285714285714,3,3.0,4.0,3.830508474576271,4.5,6,0.8467793896133422
10,16,70,57,13,0.8142857142857143,0.18571428571428572,3,4.0,4.0,4.298245614035087,5.0,6,0.9359283276034485
10,17,70,55,15,0.7857142857142857,0.2142857142857143,3,4.0,4.0,4.745454545454545,6.0,7,1.0823909866281611
10,18,70,51,19,0.7285714285714285,0.27142857142857146,4,4.0,5.0,5.196078431372549,6.0,7,1.0482405023234243
10,19,70,0,70,0.0,1.0,,,,,,,
11,1,48,48,0,1.0,0.0,1,1.0,1.0,1.0,1.0,1,0.0
11,2,48,48,0,1.0,0.0,1,1.0,1.0,1.0,1.0,1,0.0
11,3,48,48,0,1.0,0.0,1,1.0,1.0,1.0,1.0,1,0.0
11,4,48,47,1,0.9791666666666666,0.02083333333333337,1,1.0,1.0,1.0212765957446808,1.0,2,0.14430489325798443
11,5,48,47,1,0.9791666666666666,0.02083333333333337,1,1.0,1.0,1.1914893617021276,1.0,2,0.3934732342320624
11,6,48,47,1,0.9791666666666666,0.02083333333333337,1,1.0,2.0,1.574468085106383,2.0,2,0.49442340589881917
11,7,48,46,2,0.9583333333333334,0.04166666666666663,2,2.0,2.0,2.0217391304347827,2.0,3,0.1458305202717254
11,8,48,46,2,0.9583333333333334,0.04166666666666663,2,2.0,2.0,2.108695652173913,2.0,3,0.3112569796364425
11,9,48,46,2,0.9583333333333334,0.04166666666666663,2,2.0,2.0,2.260869565217391,2.75,3,0.4391089103635686
11,10,48,45,3,0.9375,0.0625,2,2.0,2.0,2.422222222222222,3.0,4,0.5370242654930921
11,11,48,45,3,0.9375,0.0625,2,2.0,3.0,2.7555555555555555,3.0,4,0.6020540970730697
11,12,48,45,3,0.9375,0.0625,2,3.0,3.0,3.022222222222222,3.0,4,0.5769224438109852
11,13,48,44,4,0.9166666666666666,0.08333333333333337,3,3.0,3.0,3.409090909090909,4.0,5,0.5359011873887088
11,14,48,44,4,0.9166666666666666,0.08333333333333337,3,3.0,4.0,3.6818181818181817,4.0,5,0.7315216790650492
11,15,48,43,5,0.8958333333333334,0.10416666666666663,3,3.0,4.0,3.9767441860465116,4.5,6,0.8487575623671935
11,16,48,41,7,0.8541666666666666,0.14583333333333337,3,4.0,4.0,4.439024390243903,5.0,7,0.7978257187217622
11,17,48,40,8,0.8333333333333334,0.16666666666666663,4,4.0,5.0,4.95,5.0,7,0.8351646544245033
11,18,48,38,10,0.7916666666666666,0.20833333333333337,4,5.0,5.0,5.526315789473684,6.0,8,0.850289180073869
11,19,48,0,48,0.0,1.0,,,,,,,
