k,representation_mean_l1,representation_max_l1,transition_mean_l1,transition_max_l1,selected
10,1.4003110194057444,1.9999999999999998,1.3571995669835135,1.999999999908867,0
20,1.0673554618578562,1.9999999998118203,1.0133547984092688,1.9995044955602226,0
30,0.7692223077189264,1.999806,0.7079342539195369,1.9993898277311999,0
50,0.3751997960842745,1.99828304,0.32377479630735356,1.96,0
75,0.18542534000845232,1.9258454400000002,0.18414409046527755,1.9047401199999998,0
100,0.0836205735936894,0.33263940873800024,0.08521290250964624,0.27263940873800013,0
150,0.05224430578228738,0.15185273049196613,0.053964094538783945,0.15185273049196613,0
200,0.04106418926077561,0.12954661151386068,0.04306701547165369,0.12954661151386068,0
300,0.02812112996795605,0.06000000000000003,0.030026823725461393,0.06000000000000003,0
400,0.020201636136492007,0.056164431000000015,0.022612405403535617,0.056164431000000015,0
500,0.012749169559738559,0.05505413887809259,0.014270596138619748,0.05505413887809259,1
741,0.0,0.0,0.0,0.0,0
