age,xhat,yhat,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
1,1,0,2,2,2,0.06,0.02,0.04,0.08,0.04,0.5
1,1,4,2,2,2,0.065,0.015,0.05,0.08,0.03,0.5
1,2,4,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,2,9,2,2,2,0.07500000000000001,0.0049999999999999975,0.07,0.08,0.009999999999999995,0.5
1,4,1,3,3,2,0.07,0.01414213562373095,0.05,0.08,0.03,0.33333333333333337
1,4,2,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,4,6,3,3,1,0.08,0.0,0.08,0.08,0.0,0.0
1,5,1,2,2,2,0.065,0.015,0.05,0.08,0.03,0.5
1,5,6,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,5,8,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,6,1,3,3,2,0.07,0.01414213562373095,0.05,0.08,0.03,0.33333333333333337
1,6,2,3,3,1,0.08,0.0,0.08,0.08,0.0,0.0
1,6,4,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,6,6,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,7,6,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,7,7,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,7,8,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,8,1,2,2,2,0.065,0.015,0.05,0.08,0.03,0.5
1,9,9,2,2,1,0.07,9.813077866773595e-18,0.06999999999999999,0.07,1.3877787807814457e-17,0.0
2,1,0,2,2,2,0.13635,0.02655000000000001,0.1098,0.16290000000000002,0.05310000000000002,0.5
2,2,0,2,2,1,0.13040000000000002,0.019400000000000008,0.111,0.14980000000000002,0.038800000000000015,0.0
2,2,3,2,2,2,0.16135,0.0018499999999999767,0.15950000000000003,0.16319999999999998,0.0036999999999999533,0.5
2,2,4,2,2,1,0.14520000000000002,0.014300000000000007,0.13090000000000002,0.15950000000000003,0.028600000000000014,0.0
2,3,9,2,2,1,0.14645000000000002,0.003850000000000006,0.1426,0.15030000000000002,0.007700000000000012,0.0
2,4,1,3,3,2,0.1475666666666667,0.019889081315021952,0.11950000000000002,0.16319999999999998,0.04369999999999996,0.33333333333333337
2,5,1,3,3,2,0.1506666666666667,0.01529582368564119,0.12910000000000002,0.1629,0.03379999999999997,0.33333333333333337
2,5,6,4,4,1,0.16160000000000002,0.0015999999999999764,0.16000000000000003,0.16319999999999998,0.003199999999999953,0.0
2,6,1,4,4,2,0.143425,0.019425418270915037,0.1195,0.1629,0.043399999999999994,0.5
2,6,2,3,3,1,0.14996666666666666,0.01348216929462352,0.1309,0.15950000000000003,0.028600000000000042,0.0
2,6,3,3,3,1,0.16083333333333336,0.0011785113019775737,0.16,0.1625,0.0025000000000000022,0.0
2,6,4,2,2,1,0.16285,0.0003500000000000031,0.16249999999999998,0.16319999999999998,0.0007000000000000062,0.0
2,6,5,2,2,1,0.1616,0.0015999999999999903,0.16,0.16319999999999998,0.0031999999999999806,0.0
2,6,6,3,3,1,0.16213333333333335,0.001508494466531279,0.16000000000000003,0.16319999999999998,0.003199999999999953,0.0
2,6,8,2,2,1,0.16145,0.001449999999999979,0.16000000000000003,0.1629,0.002899999999999958,0.0
2,7,1,2,2,1,0.14504999999999998,0.01444999999999999,0.1306,0.15949999999999998,0.02889999999999998,0.0
2,7,6,2,2,1,0.16160000000000002,0.0015999999999999764,0.16000000000000003,0.16319999999999998,0.003199999999999953,0.0
2,7,7,2,2,1,0.16160000000000002,0.0015999999999999764,0.16000000000000003,0.16319999999999998,0.003199999999999953,0.0
2,7,8,3,3,2,0.16186666666666663,0.001677961726487088,0.1595,0.16319999999999998,0.003699999999999981,0.33333333333333337
2,7,9,2,2,2,0.15675,0.0064499999999999835,0.15030000000000002,0.16319999999999998,0.012899999999999967,0.5
