age,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
0,74,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,74,16,2,0.07229729729729731,0.011803263096382506,0.04,0.08,0.04,0.4054054054054054
2,72,36,2,0.14827222222222222,0.01733591504989811,0.0886,0.16319999999999998,0.07459999999999999,0.4027777777777778
3,71,50,2,0.22634150704225356,0.020028391445239758,0.16753600000000002,0.24960000000000004,0.08206400000000003,0.43661971830985913
4,69,63,2,0.30406492289855075,0.02433811361558675,0.24169570000000004,0.33919993000000004,0.09750423,0.46376811594202894
5,67,67,2,0.38116341924179103,0.029803497549137928,0.3168195838000001,0.4319996530000001,0.11518006920000001,0.4925373134328358
6,65,65,3,0.4559822644384,0.03826919398803969,0.3622317145320001,0.527998803842,0.16576708930999995,0.49230769230769234
7,61,61,5,0.5308579089804304,0.04618120476539621,0.37758006057041993,0.6271848341708801,0.24960477360046018,0.5245901639344263
8,57,57,5,0.6049397591768437,0.052654951289752075,0.4556325460378896,0.7287726909007699,0.2731401448628803,0.5789473684210527
9,51,51,5,0.6782331413465272,0.06304436380370536,0.4615927417175627,0.8006865402994516,0.33909379858188893,0.5686274509803921
10,45,45,4,0.7536095900930722,0.0642477582514686,0.5428074101645419,0.8689621997025176,0.3261547895379757,0.48888888888888893
