k,maps,mean_frobenius_error,mean_max_frobenius_error,mean_silhouette,mean_objective,frobenius_improvement_from_previous_k,is_geometric_knee,geometric_distance
25,90,0.031504329649489196,0.08786755808378598,0.23007411562699956,20.619055659884747,,0,0.0
50,90,0.01813719949109582,0.06523366749068533,0.3079569927870295,11.876554156306666,0.013367130158393376,0,0.22369046174084276
75,90,0.01192310930153146,0.05644061731427162,0.3320093958668979,7.828049536277063,0.006214090189564359,1,0.27362388374797064
100,90,0.008429683032568717,0.04605347523795877,0.30986188412425275,5.537394762433939,0.0034934262689627436,0,0.25746869014353946
125,90,0.006287668272282569,0.037015191410405296,0.2665061565755537,4.137812050030167,0.0021420147602861485,0,0.20848587859862597
150,90,0.004688548770516491,0.03317716892444888,0.23102643646668564,3.0903021238159996,0.0015991195017660779,0,0.14631540510620625
175,90,0.0034189558492176628,0.029520793638485216,0.19135886322630238,2.25778673689805,0.001269592921298828,0,0.07614028416527856
200,90,0.0023949302501393393,0.02588570144816493,0.14147319922088414,1.5954706784765373,0.0010240255990783234,0,0.0
