h,maps,min_reachable_urc_triples,mean_reachable_urc_triples,max_reachable_urc_triples,min_reachable_gvars,mean_reachable_gvars,max_reachable_gvars
0.05,90,398,541.0555555555555,673,69,102.32222222222222,134
0.1,90,246,331.6111111111111,436,20,28.488888888888887,39
