age,xhat,yhat,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
1,1,8,2,2,1,0.05,0.0,0.05,0.05,0.0,0.0
1,2,2,3,3,1,0.08,0.0,0.08,0.08,0.0,0.0
1,2,8,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,3,0,2,2,1,0.07,0.0,0.07,0.07,0.0,0.0
1,3,2,3,3,1,0.08,0.0,0.08,0.08,0.0,0.0
1,4,2,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,4,8,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,4,9,2,2,2,0.07500000000000001,0.0049999999999999975,0.07,0.08,0.009999999999999995,0.5
1,5,2,3,3,1,0.08,0.0,0.08,0.08,0.0,0.0
1,5,3,3,3,1,0.08,0.0,0.08,0.08,0.0,0.0
1,5,5,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,5,9,2,2,2,0.07500000000000001,0.0049999999999999975,0.07,0.08,0.009999999999999995,0.5
1,8,5,3,3,2,0.07,0.01414213562373095,0.05,0.08,0.03,0.33333333333333337
1,9,5,2,2,1,0.07,9.813077866773595e-18,0.06999999999999999,0.07,1.3877787807814457e-17,0.0
2,2,8,3,3,2,0.1408,0.015860222781117116,0.12860000000000002,0.16319999999999998,0.034599999999999964,0.33333333333333337
2,3,0,2,2,1,0.14295,0.0003499999999999892,0.1426,0.14329999999999998,0.0006999999999999784,0.0
2,3,1,2,2,1,0.11950000000000001,1.3877787807814457e-17,0.1195,0.11950000000000002,2.7755575615628914e-17,0.0
2,3,2,4,4,2,0.153225,0.01293935373192959,0.1309,0.16249999999999998,0.03159999999999999,0.25
2,3,8,2,2,1,0.16110000000000002,0.0010999999999999899,0.16000000000000003,0.1622,0.0021999999999999797,0.0
2,4,2,3,3,1,0.16090000000000002,0.0016391054470858775,0.15950000000000003,0.16319999999999998,0.0036999999999999533,0.0
2,4,5,2,2,1,0.1616,0.0015999999999999903,0.16,0.16319999999999998,0.0031999999999999806,0.0
2,4,8,2,2,1,0.16304999999999997,0.00014999999999999736,0.1629,0.16319999999999998,0.0002999999999999947,0.0
2,4,9,2,2,2,0.15675,0.0064499999999999835,0.15030000000000002,0.16319999999999998,0.012899999999999967,0.5
2,5,2,4,4,1,0.16135,0.0018499999999999836,0.1595,0.16319999999999998,0.003699999999999981,0.0
2,5,3,3,3,1,0.16083333333333336,0.0011785113019775737,0.16,0.1625,0.0025000000000000022,0.0
2,5,4,3,3,1,0.1610666666666667,0.0015084944665312856,0.16,0.16319999999999998,0.0031999999999999806,0.0
2,5,5,2,2,1,0.16319999999999998,0.0,0.16319999999999998,0.16319999999999998,0.0,0.0
2,5,9,2,2,1,0.14679999999999999,0.003500000000000017,0.14329999999999998,0.15030000000000002,0.007000000000000034,0.0
2,6,9,2,2,1,0.14679999999999999,0.003500000000000017,0.14329999999999998,0.15030000000000002,0.007000000000000034,0.0
2,7,5,3,3,2,0.14996666666666666,0.013482169294623507,0.1309,0.1595,0.028600000000000014,0.33333333333333337
