k,representation_mean_l1,representation_max_l1,transition_mean_l1,transition_max_l1,selected
10,1.3439822986310743,1.9999999744082702,1.2927958175878587,1.9997389910958088,0
20,0.8847656057527413,1.9999999590179254,0.8069602412171666,1.99803576,0
30,0.8403170232288533,1.9999999590179254,0.7906968722782308,1.9990080000000001,0
50,0.5490052930789318,1.999406,0.5251412702260839,1.96,0
75,0.12441875944524257,0.35155104722752606,0.128767767084367,0.35155104722752606,0
100,0.07817251414607226,0.2818018102000001,0.08084941074920254,0.2741290286277278,0
150,0.04852546275806363,0.13778622082366004,0.050907269408750004,0.13778622082366004,0
200,0.03678713052228951,0.10993801395800007,0.03952458321891482,0.10993801395800007,0
300,0.024893883233955746,0.058200000000000016,0.028080989391936238,0.058200000000000016,0
400,0.0159239577452454,0.05297511385447009,0.017962665138235294,0.05297511385447009,1
500,0.008888472535401494,0.03998400000000002,0.010026443067615525,0.03998400000000002,0
652,0.0,0.0,0.0,0.0,0
