h,maps,mean_frobenius_error,mean_rmse_frobenius_error,max_frobenius_error_overall,mean_gvars,min_gvars,max_gvars,mean_gstates,min_gstates,max_gstates,mean_extra_gstates,min_extra_gstates,max_extra_gstates,mean_split_gvars,mean_max_gstates_per_gvar,max_gstates_per_gvar_overall,mean_lookup_transitions,min_lookup_transitions,max_lookup_transitions
0.05,90,0.021691194160599028,0.02435954276746152,0.044551206493202905,102.32222222222222,69,134,135.96666666666667,99,176,33.644444444444446,13,61,26.244444444444444,3.8666666666666667,7,529.1222222222223,366,645
0.075,90,0.030724587477848134,0.035075098040987476,0.07246040297983451,49.577777777777776,35,66,109.14444444444445,80,141,59.56666666666667,41,87,26.77777777777778,6.8,11,517.6777777777778,354,634
0.1,90,0.04079094890882925,0.04565840526269448,0.09606159482332154,28.488888888888887,20,39,100.63333333333334,79,151,72.14444444444445,51,118,18.4,9.38888888888889,17,504.6333333333333,349,629
0.15,90,0.05759947358969742,0.06448787133026744,0.13722725676774275,13.966666666666667,11,18,103.9,72,139,89.93333333333334,58,126,9.444444444444445,29.366666666666667,46,472.4555555555556,316,582
0.2,90,0.07371559683575925,0.08224620754182607,0.17937948600662232,9.244444444444444,7,11,109.72222222222223,79,141,100.47777777777777,69,133,6.611111111111111,36.34444444444444,56,441.06666666666666,282,534
