k,representation_mean_l1,representation_max_l1,transition_mean_l1,transition_max_l1,selected
10,1.2953889994308163,1.9999999999999991,1.2384932518253937,1.9999414897999996,0
20,1.0985755820831884,1.9999999999999991,1.0470909188549111,1.99854806688392,0
30,0.7955872289082472,1.9996081178000003,0.7359076812527068,1.9783809667999999,0
50,0.5830431066339633,1.9994253180156196,0.5563223486660535,1.97512870030726,0
75,0.2660511006868972,1.9276937129119998,0.2740014212608258,1.920691090754,0
100,0.08443171922083403,0.2814366828000001,0.08708485644370592,0.2655391222504413,0
150,0.04991323856032211,0.1617203434893881,0.05218871407543866,0.1617203434893881,0
200,0.03891494120054179,0.11031199075058003,0.04111985704060851,0.11031199075058003,0
300,0.027906820943335568,0.06000000000000003,0.03014150659789995,0.06000000000000003,0
400,0.019557374203693124,0.05540545980000003,0.021964435644147663,0.05540545980000003,1
500,0.012028089365667887,0.05302726800200006,0.01350846959528855,0.05302726800200006,0
730,0.0,0.0,0.0,0.0,0
