age,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
0,69,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,69,11,2,0.07478260869565219,0.009264032935940223,0.04,0.08,0.04,0.34782608695652173
2,68,26,2,0.15050882352941178,0.013771547130973439,0.1098,0.16319999999999998,0.05339999999999999,0.38235294117647056
3,66,42,2,0.22702574242424245,0.018639160991416912,0.180313,0.24960000000000004,0.06928700000000004,0.43939393939393945
4,64,59,3,0.30196778578124994,0.02699945380994556,0.22298617999999998,0.33919993000000004,0.11621375000000006,0.5
5,60,60,2,0.3794874218083334,0.030615431465744494,0.31858965190000005,0.4319996530000001,0.11341000110000005,0.5
6,57,57,2,0.4537077893894913,0.036814771677592936,0.38992601166899993,0.527998803842,0.13807279217300011,0.49122807017543857
7,53,53,3,0.5293334060227403,0.043362485142745086,0.46486126003033995,0.62718483417088,0.16232357414054005,0.5094339622641509
8,50,50,4,0.6030166132057789,0.04901769337360306,0.5019453983426495,0.7287726909007698,0.22682729255812029,0.6
9,48,48,4,0.6731239470467686,0.04987143025914949,0.5677391174651676,0.8009305828091335,0.23319146534396595,0.5625
10,45,45,3,0.7396803940296651,0.049900575071729236,0.6375137161735067,0.8763555504810336,0.23884183430752692,0.4666666666666667
