age,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
0,77,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,77,17,2,0.07337662337662337,0.011465406989269214,0.04,0.08,0.04,0.33766233766233766
2,76,38,2,0.15012894736842106,0.016274930800964326,0.1098,0.16319999999999998,0.05339999999999999,0.4078947368421053
3,75,58,3,0.22867073333333338,0.021424575858786304,0.15947199999999997,0.24959999999999996,0.09012799999999999,0.4666666666666667
4,73,70,3,0.308294157260274,0.026587307175941998,0.22650798,0.33919993,0.11269194999999999,0.4931506849315068
5,72,72,3,0.3872257821944445,0.03277149675756247,0.2968085822,0.4319996530000001,0.1351910708000001,0.5
6,70,70,3,0.4652569991052285,0.039717182833444296,0.369420513529,0.5271946534960001,0.15777413996700013,0.5
7,67,67,4,0.5423029934356135,0.05027617799100192,0.37758006057041993,0.6078769004588,0.23029683988838012,0.4925373134328358
8,62,62,4,0.6229185645616625,0.05744713543438234,0.38353396421021474,0.7062181561041913,0.3226841918939765,0.5
9,57,57,5,0.7039971912851674,0.057727114334882604,0.5368431979014159,0.8007226007345919,0.263879402833176,0.5614035087719298
10,52,52,5,0.7790135693670474,0.0669191117721946,0.5427890921281426,0.8762855900094079,0.33349649788126523,0.5
