age,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
0,65,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,65,16,2,0.0730769230769231,0.01065877420042386,0.04,0.08,0.04,0.41538461538461535
2,63,40,2,0.14812380952380955,0.01606845192892863,0.10980000000000001,0.16319999999999998,0.053399999999999975,0.4285714285714286
3,61,50,2,0.22486308196721314,0.020071842290325707,0.180313,0.24958899999999998,0.06927599999999998,0.47540983606557374
4,58,55,2,0.3028227296551725,0.024198792624245475,0.23448178,0.3384151,0.10393332000000002,0.5
5,54,54,3,0.380000911,0.030582012498799653,0.29995607129999996,0.4191805532000001,0.11922448190000012,0.5
6,51,51,3,0.45880915833954905,0.03501021836690398,0.37083660738300006,0.5119389459820001,0.141102338599,0.4901960784313726
7,48,48,3,0.5354392078669635,0.04050332699287827,0.4431956273460902,0.6070984164121399,0.16390278906604971,0.5
8,46,46,4,0.6111681754573628,0.04585884330526693,0.5190561918359563,0.6868740863161855,0.1678178944802292,0.5434782608695652
9,44,44,4,0.6854818270754369,0.047368989123345924,0.5992516147634016,0.7837136287881306,0.18446201402472895,0.5454545454545454
10,41,41,3,0.7617156222393505,0.04589308979692574,0.6802801919526288,0.8618665202381457,0.1815863282855169,0.4878048780487805
