k,representation_mean_l1,representation_max_l1,transition_mean_l1,transition_max_l1,selected
10,1.332150001687104,1.9999999999999987,1.2798981744995026,1.9999993328921601,0
20,0.8806292519764745,1.9999999970000002,0.8015555656305283,1.9999991108,0
30,0.6604495443042023,1.9999998,0.5822062293558564,1.99996626,0
50,0.4517145772033942,1.9804000000000002,0.41545220314145137,1.9424938552960929,0
75,0.12488788502642943,0.3326394087380001,0.12719841297804999,0.3194291881178914,0
100,0.0816138533050549,0.26770981541370165,0.08329878943594414,0.26770981541370165,0
150,0.051441920716203654,0.17967373799171282,0.053199809882111704,0.17967373799171282,0
200,0.03776685228388923,0.14811793972936144,0.03980469080706856,0.14811793972936144,0
300,0.026206063687727627,0.059000000000000025,0.029509349026516824,0.059000000000000025,0
400,0.01712961882781723,0.05388157940000003,0.01928881447838243,0.05388157940000003,1
500,0.009651930880631801,0.03999999999999999,0.010868560823568582,0.03999999999999999,0
670,0.0,0.0,0.0,0.0,0
