model,decision,threshold,actual_update_q1,actual_update_median,actual_update_mean,actual_update_q3,interval_trigger_fraction,fallback_fraction
17,9,18,4.0,5.0,6.073529411764706,7.0,0.8088235294117647,0.19117647058823528
17,10,19,10.0,10.0,10.0,10.0,0.0,1.0
18,1,3,1.0,1.0,1.0,1.0,1.0,0.0
18,2,6,1.0,1.0,1.5753424657534247,2.0,0.9863013698630136,0.0136986301369863
18,3,9,2.0,2.0,2.493150684931507,2.0,0.958904109589041,0.0410958904109589
18,4,10,2.0,2.0,2.863013698630137,3.0,0.9315068493150684,0.0684931506849315
18,5,12,3.0,3.0,3.410958904109589,3.0,0.9315068493150684,0.0684931506849315
18,6,15,3.0,4.0,4.52054794520548,5.0,0.8904109589041096,0.1095890410958904
18,7,16,4.0,4.0,5.095890410958904,5.0,0.8493150684931506,0.1506849315068493
18,8,17,4.0,5.0,5.493150684931507,6.0,0.8493150684931506,0.1506849315068493
18,9,18,5.0,6.0,6.136986301369863,7.0,0.821917808219178,0.1780821917808219
18,10,19,10.0,10.0,10.0,10.0,0.0,1.0
19,1,3,1.0,1.0,1.0,1.0,1.0,0.0
19,2,5,1.0,1.0,1.462686567164179,1.0,0.9701492537313433,0.029850746268656716
19,3,6,1.0,2.0,1.8507462686567164,2.0,0.9701492537313433,0.029850746268656716
19,4,9,2.0,2.0,2.746268656716418,3.0,0.9402985074626866,0.05970149253731343
19,5,11,2.0,3.0,3.4776119402985075,3.0,0.9104477611940298,0.08955223880597014
19,6,12,3.0,3.0,3.7611940298507465,4.0,0.9104477611940298,0.08955223880597014
19,7,13,3.0,4.0,4.2835820895522385,4.0,0.8805970149253731,0.11940298507462686
19,8,17,4.0,5.0,5.925373134328358,6.0,0.835820895522388,0.16417910447761194
19,9,18,5.0,6.0,6.522388059701493,7.0,0.8059701492537313,0.19402985074626866
19,10,19,10.0,10.0,10.0,10.0,0.0,1.0
20,1,3,1.0,1.0,1.0,1.0,1.0,0.0
20,2,5,1.0,1.0,1.3877551020408163,1.0,0.9795918367346939,0.02040816326530612
20,3,8,2.0,2.0,2.3877551020408165,2.0,0.9591836734693877,0.04081632653061224
20,4,9,2.0,2.0,2.5714285714285716,3.0,0.9591836734693877,0.04081632653061224
20,5,12,3.0,3.0,3.4489795918367347,3.0,0.9387755102040817,0.061224489795918366
20,6,14,3.0,4.0,4.387755102040816,4.0,0.9183673469387755,0.08163265306122448
20,7,15,4.0,4.0,4.877551020408164,5.0,0.8979591836734694,0.10204081632653061
20,8,16,4.0,5.0,5.571428571428571,6.0,0.8571428571428571,0.14285714285714285
20,9,18,5.0,7.0,6.836734693877551,8.0,0.8163265306122449,0.1836734693877551
20,10,19,10.0,10.0,10.0,10.0,0.0,1.0
21,1,3,1.0,1.0,1.0,1.0,1.0,0.0
21,2,5,1.0,1.0,1.4305555555555556,1.0,0.9722222222222222,0.027777777777777776
21,3,9,2.0,2.0,2.625,2.0,0.9444444444444444,0.05555555555555555
21,4,10,2.0,2.0,3.125,3.0,0.9027777777777778,0.09722222222222222
21,5,12,3.0,3.0,3.7083333333333335,4.0,0.9027777777777778,0.09722222222222222
21,6,13,3.0,3.0,4.180555555555555,4.0,0.875,0.125
21,7,15,4.0,5.0,5.027777777777778,5.0,0.875,0.125
21,8,16,4.0,5.0,5.861111111111111,6.0,0.8194444444444444,0.18055555555555555
21,9,18,6.0,7.0,7.361111111111111,10.0,0.7222222222222222,0.2777777777777778
21,10,19,10.0,10.0,10.0,10.0,0.0,1.0
22,1,3,1.0,1.0,1.0,1.0,1.0,0.0
22,2,5,1.0,1.0,1.4057971014492754,2.0,0.9855072463768116,0.014492753623188406
22,3,8,2.0,2.0,2.4782608695652173,2.0,0.9565217391304348,0.043478260869565216
22,4,9,2.0,2.0,2.6956521739130435,3.0,0.9565217391304348,0.043478260869565216
22,5,12,3.0,3.0,3.710144927536232,4.0,0.927536231884058,0.07246376811594203
