model,decision,threshold,actual_update_q1,actual_update_median,actual_update_mean,actual_update_q3,interval_trigger_fraction,fallback_fraction
43,7,16,4.0,4.0,4.783783783783784,5.0,0.8918918918918919,0.10810810810810811
43,8,17,4.0,4.0,5.135135135135135,6.0,0.8783783783783784,0.12162162162162163
43,9,18,4.0,5.0,5.72972972972973,6.0,0.8513513513513513,0.14864864864864866
43,10,19,10.0,10.0,10.0,10.0,0.0,1.0
44,1,3,1.0,1.0,1.0,1.0,1.0,0.0
44,2,6,1.0,1.0,1.5324675324675325,2.0,0.987012987012987,0.012987012987012988
44,3,9,2.0,2.0,2.3896103896103895,2.0,0.974025974025974,0.025974025974025976
44,4,10,2.0,2.0,2.675324675324675,3.0,0.948051948051948,0.05194805194805195
44,5,12,3.0,3.0,3.272727272727273,3.0,0.948051948051948,0.05194805194805195
44,6,15,3.0,4.0,4.207792207792208,4.0,0.935064935064935,0.06493506493506493
44,7,16,4.0,4.0,4.805194805194805,5.0,0.9090909090909091,0.09090909090909091
44,8,17,4.0,5.0,5.246753246753247,6.0,0.9090909090909091,0.09090909090909091
44,9,18,5.0,5.0,5.87012987012987,6.0,0.8831168831168831,0.11688311688311688
44,10,19,10.0,10.0,10.0,10.0,0.0,1.0
45,1,3,1.0,1.0,1.0,1.0,1.0,0.0
45,2,6,1.0,1.0,1.6,2.0,0.9866666666666667,0.013333333333333334
45,3,9,2.0,2.0,2.493333333333333,2.0,0.96,0.04
45,4,10,2.0,2.0,2.84,3.0,0.9333333333333333,0.06666666666666667
45,5,12,3.0,3.0,3.4,3.0,0.9333333333333333,0.06666666666666667
45,6,13,3.0,3.0,3.9466666666666668,4.0,0.8933333333333333,0.10666666666666667
45,7,15,3.0,4.0,4.533333333333333,4.0,0.8933333333333333,0.10666666666666667
45,8,16,4.0,4.0,5.013333333333334,5.0,0.8666666666666667,0.13333333333333333
45,9,18,5.0,5.0,5.96,6.0,0.8533333333333334,0.14666666666666667
45,10,19,10.0,10.0,10.0,10.0,0.0,1.0
46,1,3,1.0,1.0,1.0,1.0,1.0,0.0
46,2,5,1.0,1.0,1.472972972972973,1.75,0.972972972972973,0.02702702702702703
46,3,6,1.0,2.0,1.8513513513513513,2.0,0.972972972972973,0.02702702702702703
46,4,9,2.0,2.0,2.8513513513513513,3.0,0.9324324324324325,0.06756756756756757
46,5,11,3.0,3.0,3.689189189189189,3.0,0.8918918918918919,0.10810810810810811
46,6,13,3.0,4.0,4.5,4.0,0.8513513513513513,0.14864864864864866
46,7,14,4.0,4.0,4.864864864864865,5.0,0.8513513513513513,0.14864864864864866
46,8,16,5.0,5.0,6.135135135135135,6.75,0.7837837837837838,0.21621621621621623
46,9,17,5.0,6.0,6.72972972972973,7.75,0.7702702702702703,0.22972972972972974
46,10,19,10.0,10.0,10.0,10.0,0.0,1.0
47,1,3,1.0,1.0,1.0,1.0,1.0,0.0
47,2,5,1.0,1.0,1.44,1.0,0.9733333333333334,0.02666666666666667
47,3,8,2.0,2.0,2.493333333333333,2.0,0.9466666666666667,0.05333333333333334
47,4,9,2.0,2.0,2.6266666666666665,2.5,0.9466666666666667,0.05333333333333334
47,5,12,3.0,3.0,3.466666666666667,3.0,0.9333333333333333,0.06666666666666667
47,6,13,3.0,3.0,3.9066666666666667,4.0,0.92,0.08
47,7,15,3.0,4.0,4.613333333333333,5.0,0.9066666666666666,0.09333333333333334
47,8,16,4.0,4.0,5.133333333333334,6.0,0.8933333333333333,0.10666666666666667
47,9,18,5.0,6.0,6.24,7.0,0.8533333333333334,0.14666666666666667
47,10,19,10.0,10.0,10.0,10.0,0.0,1.0
48,1,3,1.0,1.0,1.0,1.0,1.0,0.0
48,2,8,2.0,2.0,2.3076923076923075,2.0,0.9743589743589743,0.02564102564102564
48,3,9,2.0,2.0,2.5128205128205128,3.0,0.9743589743589743,0.02564102564102564
48,4,12,3.0,3.0,3.576923076923077,4.0,0.9487179487179487,0.05128205128205128
48,5,13,3.0,4.0,4.1923076923076925,4.0,0.9102564102564102,0.08974358974358974
48,6,14,4.0,4.0,4.576923076923077,5.0,0.9102564102564102,0.08974358974358974
48,7,15,4.0,5.0,5.051282051282051,5.0,0.9102564102564102,0.08974358974358974
48,8,17,5.0,6.0,6.551282051282051,7.0,0.8333333333333334,0.16666666666666666
48,9,18,6.0,7.0,7.3076923076923075,8.0,0.782051282051282,0.21794871794871795
48,10,19,10.0,10.0,10.0,10.0,0.0,1.0
49,1,3,1.0,1.0,1.0,1.0,1.0,0.0
49,2,5,1.0,1.0,1.3636363636363635,1.0,0.974025974025974,0.025974025974025976
49,3,6,1.0,1.0,1.6623376623376624,2.0,0.974025974025974,0.025974025974025976
49,4,9,2.0,2.0,2.5714285714285716,2.0,0.948051948051948,0.05194805194805195
49,5,10,2.0,2.0,2.896103896103896,3.0,0.922077922077922,0.07792207792207792
49,6,14,3.0,3.0,4.12987012987013,4.0,0.8961038961038961,0.1038961038961039
49,7,15,3.0,4.0,4.35064935064935,5.0,0.8961038961038961,0.1038961038961039
49,8,16,4.0,4.0,4.974025974025974,5.0,0.8441558441558441,0.15584415584415584
49,9,18,5.0,5.0,5.922077922077922,6.0,0.8181818181818182,0.18181818181818182
49,10,19,10.0,10.0,10.0,10.0,0.0,1.0
50,1,3,1.0,1.0,1.0,1.0,1.0,0.0
50,2,8,2.0,2.0,2.3134328358208953,2.0,0.9701492537313433,0.029850746268656716
50,3,9,2.0,2.0,2.462686567164179,2.5,0.9701492537313433,0.029850746268656716
50,4,10,2.0,2.0,2.8955223880597014,3.0,0.9402985074626866,0.05970149253731343
50,5,12,3.0,3.0,3.4925373134328357,3.0,0.9402985074626866,0.05970149253731343
50,6,14,3.0,4.0,4.3283582089552235,4.0,0.9104477611940298,0.08955223880597014
50,7,15,4.0,4.0,4.731343283582089,5.0,0.9104477611940298,0.08955223880597014
50,8,17,5.0,5.0,5.895522388059701,6.0,0.8656716417910447,0.13432835820895522
50,9,18,5.0,6.0,6.537313432835821,7.0,0.835820895522388,0.16417910447761194
50,10,19,10.0,10.0,10.0,10.0,0.0,1.0
51,1,3,1.0,1.0,1.0,1.0,1.0,0.0
51,2,5,1.0,1.0,1.452054794520548,1.0,0.9726027397260274,0.0273972602739726
51,3,8,2.0,2.0,2.547945205479452,2.0,0.9452054794520548,0.0547945205479452
51,4,9,2.0,2.0,2.7534246575342465,3.0,0.9452054794520548,0.0547945205479452
51,5,11,2.0,3.0,3.4246575342465753,3.0,0.9178082191780822,0.0821917808219178
51,6,13,3.0,4.0,4.219178082191781,4.0,0.8904109589041096,0.1095890410958904
51,7,14,3.0,4.0,4.465753424657534,5.0,0.8904109589041096,0.1095890410958904
51,8,15,3.0,5.0,4.835616438356165,5.0,0.8904109589041096,0.1095890410958904
51,9,18,5.0,6.0,6.5479452054794525,7.0,0.8356164383561644,0.1643835616438356
51,10,19,10.0,10.0,10.0,10.0,0.0,1.0
52,1,3,1.0,1.0,1.0,1.0,1.0,0.0
52,2,5,1.0,1.0,1.4929577464788732,2.0,0.971830985915493,0.028169014084507043
52,3,6,1.0,2.0,1.8450704225352113,2.0,0.971830985915493,0.028169014084507043
52,4,9,2.0,2.0,2.76056338028169,3.0,0.9436619718309859,0.056338028169014086
52,5,11,3.0,3.0,3.6056338028169015,3.0,0.9014084507042254,0.09859154929577464
52,6,13,3.0,4.0,4.549295774647887,4.0,0.8450704225352113,0.15492957746478872
52,7,14,3.0,4.0,4.859154929577465,5.0,0.8450704225352113,0.15492957746478872
52,8,16,4.5,5.0,6.126760563380282,7.0,0.7605633802816901,0.23943661971830985
52,9,17,5.0,6.0,6.704225352112676,10.0,0.7183098591549296,0.28169014084507044
52,10,19,10.0,10.0,10.0,10.0,0.0,1.0
53,1,3,1.0,1.0,1.0,1.0,1.0,0.0
53,2,5,1.0,1.0,1.4705882352941178,1.0,0.9705882352941176,0.029411764705882353
53,3,8,2.0,2.0,2.4411764705882355,2.0,0.9558823529411765,0.04411764705882353
53,4,10,2.0,2.0,2.985294117647059,3.0,0.9264705882352942,0.07352941176470588
53,5,12,3.0,3.0,3.514705882352941,3.0,0.9264705882352942,0.07352941176470588
53,6,13,3.0,3.0,4.102941176470588,4.0,0.8970588235294118,0.10294117647058823
53,7,15,4.0,4.0,4.838235294117647,5.0,0.8970588235294118,0.10294117647058823
53,8,17,5.0,6.0,5.955882352941177,6.25,0.8676470588235294,0.1323529411764706
53,9,18,5.0,6.0,6.5,7.0,0.8676470588235294,0.1323529411764706
53,10,19,10.0,10.0,10.0,10.0,0.0,1.0
54,1,3,1.0,1.0,1.0,1.0,1.0,0.0
54,2,5,1.0,1.0,1.379746835443038,1.0,0.9746835443037974,0.02531645569620253
54,3,8,2.0,2.0,2.5063291139240507,2.0,0.9493670886075949,0.05063291139240506
54,4,9,2.0,2.0,2.632911392405063,3.0,0.9493670886075949,0.05063291139240506
54,5,11,2.0,3.0,3.2025316455696204,3.0,0.9240506329113924,0.0759493670886076
54,6,12,3.0,3.0,3.518987341772152,3.5,0.9240506329113924,0.0759493670886076
54,7,15,3.0,4.0,4.620253164556962,5.0,0.8734177215189873,0.12658227848101267
54,8,16,4.0,4.0,5.189873417721519,5.0,0.8354430379746836,0.16455696202531644
54,9,18,5.0,6.0,6.265822784810126,7.0,0.7974683544303798,0.20253164556962025
54,10,19,10.0,10.0,10.0,10.0,0.0,1.0
55,1,3,1.0,1.0,1.0,1.0,1.0,0.0
55,2,6,1.0,1.0,1.6119402985074627,2.0,0.9850746268656716,0.014925373134328358
55,3,9,2.0,2.0,2.4477611940298507,2.0,0.9701492537313433,0.029850746268656716
55,4,10,2.0,2.0,2.716417910447761,3.0,0.9552238805970149,0.04477611940298507
55,5,12,3.0,3.0,3.2388059701492535,3.0,0.9552238805970149,0.04477611940298507
55,6,15,3.0,4.0,4.253731343283582,4.5,0.9402985074626866,0.05970149253731343
55,7,16,4.0,4.0,4.776119402985074,5.0,0.9253731343283582,0.07462686567164178
55,8,17,4.0,5.0,5.253731343283582,6.0,0.9104477611940298,0.08955223880597014
55,9,18,5.0,6.0,5.940298507462686,7.0,0.8955223880597015,0.1044776119402985
55,10,19,10.0,10.0,10.0,10.0,0.0,1.0
56,1,3,1.0,1.0,1.0,1.0,1.0,0.0
56,2,4,1.0,1.0,1.3653846153846154,1.0,0.9615384615384616,0.038461538461538464
56,3,6,1.0,2.0,1.9038461538461537,2.0,0.9615384615384616,0.038461538461538464
56,4,8,2.0,2.0,2.7115384615384617,2.0,0.9230769230769231,0.07692307692307693
56,5,11,2.0,3.0,3.5,3.0,0.9038461538461539,0.09615384615384616
56,6,12,3.0,3.0,3.730769230769231,4.0,0.9038461538461539,0.09615384615384616
56,7,14,3.0,4.0,4.673076923076923,5.0,0.8653846153846154,0.1346153846153846
56,8,16,4.0,5.0,5.6923076923076925,6.0,0.8076923076923077,0.19230769230769232
56,9,18,5.0,6.0,6.6923076923076925,7.0,0.7884615384615384,0.21153846153846154
56,10,19,10.0,10.0,10.0,10.0,0.0,1.0
57,1,3,1.0,1.0,1.0,1.0,1.0,0.0
57,2,5,1.0,1.0,1.364864864864865,1.0,0.972972972972973,0.02702702702702703
57,3,6,1.0,1.0,1.6486486486486487,2.0,0.972972972972973,0.02702702702702703
57,4,10,2.0,2.0,2.864864864864865,3.0,0.918918918918919,0.08108108108108109
57,5,12,3.0,3.0,3.445945945945946,3.0,0.918918918918919,0.08108108108108109
57,6,14,3.0,3.0,4.121621621621622,4.0,0.8918918918918919,0.10810810810810811
57,7,15,3.0,4.0,4.4324324324324325,4.75,0.8918918918918919,0.10810810810810811
57,8,17,4.0,5.0,5.554054054054054,6.0,0.8513513513513513,0.14864864864864866
57,9,18,5.0,5.5,6.22972972972973,7.0,0.8108108108108109,0.1891891891891892
57,10,19,10.0,10.0,10.0,10.0,0.0,1.0
58,1,3,1.0,1.0,1.0,1.0,1.0,0.0
58,2,5,1.0,1.0,1.4864864864864864,2.0,0.972972972972973,0.02702702702702703
58,3,6,1.0,2.0,1.864864864864865,2.0,0.972972972972973,0.02702702702702703
58,4,9,2.0,2.0,2.7162162162162162,3.0,0.9459459459459459,0.05405405405405406
58,5,11,3.0,3.0,3.5945945945945947,3.0,0.9054054054054054,0.0945945945945946
58,6,13,3.0,4.0,4.5,4.0,0.8513513513513513,0.14864864864864866
58,7,14,4.0,4.0,4.9324324324324325,5.0,0.8513513513513513,0.14864864864864866
58,8,16,5.0,5.0,6.256756756756757,7.0,0.7702702702702703,0.22972972972972974
58,9,17,5.0,6.0,6.9324324324324325,9.5,0.7432432432432432,0.25675675675675674
58,10,19,10.0,10.0,10.0,10.0,0.0,1.0
59,1,3,1.0,1.0,1.0,1.0,1.0,0.0
59,2,4,1.0,1.0,1.3125,1.0,0.96875,0.03125
59,3,8,2.0,2.0,2.5,2.0,0.953125,0.046875
59,4,9,2.0,2.0,2.6875,3.0,0.953125,0.046875
59,5,12,3.0,3.0,3.75,4.0,0.921875,0.078125
59,6,13,3.0,4.0,4.28125,4.0,0.890625,0.109375
59,7,15,4.0,5.0,5.0,5.0,0.890625,0.109375
59,8,16,4.0,5.0,5.640625,6.0,0.859375,0.140625
59,9,18,6.0,6.0,6.765625,8.0,0.84375,0.15625
59,10,19,10.0,10.0,10.0,10.0,0.0,1.0
60,1,3,1.0,1.0,1.0,1.0,1.0,0.0
60,2,6,1.0,1.0,1.5555555555555556,2.0,0.9861111111111112,0.013888888888888888
60,3,9,2.0,2.0,2.388888888888889,2.0,0.9722222222222222,0.027777777777777776
60,4,10,2.0,2.0,2.7083333333333335,3.0,0.9444444444444444,0.05555555555555555
60,5,12,3.0,3.0,3.263888888888889,3.0,0.9444444444444444,0.05555555555555555
60,6,15,3.0,4.0,4.208333333333333,4.25,0.9166666666666666,0.08333333333333333
60,7,16,4.0,4.0,4.805555555555555,5.0,0.8888888888888888,0.1111111111111111
60,8,17,4.0,4.5,5.152777777777778,6.0,0.8888888888888888,0.1111111111111111
60,9,18,4.0,5.0,5.694444444444445,6.0,0.8611111111111112,0.1388888888888889
60,10,19,10.0,10.0,10.0,10.0,0.0,1.0
61,1,3,1.0,1.0,1.0,1.0,1.0,0.0
61,2,6,1.0,2.0,1.6901408450704225,2.0,0.9859154929577465,0.014084507042253521
61,3,9,2.0,2.0,2.5492957746478875,2.5,0.9577464788732394,0.04225352112676056
61,4,11,2.5,3.0,3.2816901408450705,3.0,0.9295774647887324,0.07042253521126761
61,5,12,3.0,3.0,3.591549295774648,4.0,0.9295774647887324,0.07042253521126761
61,6,14,4.0,4.0,4.633802816901408,5.0,0.8873239436619719,0.11267605633802817
61,7,15,4.0,5.0,5.154929577464789,5.0,0.8732394366197183,0.1267605633802817
61,8,16,5.0,5.0,5.957746478873239,6.5,0.8169014084507042,0.18309859154929578
61,9,18,6.0,7.0,7.225352112676056,9.5,0.7464788732394366,0.2535211267605634
61,10,19,10.0,10.0,10.0,10.0,0.0,1.0
62,1,3,1.0,1.0,1.0,1.0,1.0,0.0
62,2,5,1.0,1.0,1.4657534246575343,1.0,0.9726027397260274,0.0273972602739726
62,3,6,1.0,2.0,1.7671232876712328,2.0,0.9726027397260274,0.0273972602739726
62,4,10,2.0,2.0,3.0684931506849313,3.0,0.9178082191780822,0.0821917808219178
62,5,11,2.0,3.0,3.3972602739726026,3.0,0.9178082191780822,0.0821917808219178
62,6,12,3.0,3.0,3.684931506849315,4.0,0.9178082191780822,0.0821917808219178
62,7,13,3.0,3.0,4.191780821917808,4.0,0.8904109589041096,0.1095890410958904
62,8,17,5.0,5.0,5.876712328767123,6.0,0.863013698630137,0.136986301369863
62,9,18,5.0,6.0,6.4520547945205475,7.0,0.8356164383561644,0.1643835616438356
62,10,19,10.0,10.0,10.0,10.0,0.0,1.0
63,1,3,1.0,1.0,1.0,1.0,1.0,0.0
63,2,5,1.0,1.0,1.5492957746478873,2.0,0.971830985915493,0.028169014084507043
63,3,6,1.0,2.0,1.8873239436619718,2.0,0.971830985915493,0.028169014084507043
63,4,9,2.0,2.0,2.915492957746479,3.0,0.9295774647887324,0.07042253521126761
63,5,10,2.0,3.0,3.563380281690141,3.0,0.8732394366197183,0.1267605633802817
63,6,13,3.0,4.0,4.71830985915493,4.0,0.8309859154929577,0.16901408450704225
63,7,14,4.0,4.0,5.070422535211268,5.0,0.8309859154929577,0.16901408450704225
63,8,16,4.5,5.0,6.098591549295775,7.0,0.7746478873239436,0.22535211267605634
63,9,17,5.0,6.0,6.732394366197183,10.0,0.7323943661971831,0.2676056338028169
63,10,19,10.0,10.0,10.0,10.0,0.0,1.0
64,1,3,1.0,1.0,1.0,1.0,1.0,0.0
64,2,5,1.0,1.0,1.5396825396825398,2.0,0.9682539682539683,0.031746031746031744
64,3,6,1.0,2.0,1.9682539682539681,2.0,0.9682539682539683,0.031746031746031744
64,4,9,2.0,2.0,2.984126984126984,3.0,0.9206349206349206,0.07936507936507936
64,5,11,3.0,3.0,3.9047619047619047,3.0,0.8571428571428571,0.14285714285714285
64,6,13,3.0,4.0,4.746031746031746,4.0,0.8095238095238095,0.19047619047619047
64,7,14,4.0,4.0,5.095238095238095,5.0,0.8095238095238095,0.19047619047619047
64,8,16,5.0,5.0,6.111111111111111,7.0,0.7619047619047619,0.23809523809523808
64,9,17,5.0,6.0,6.619047619047619,9.0,0.746031746031746,0.25396825396825395
64,10,19,10.0,10.0,10.0,10.0,0.0,1.0
65,1,3,1.0,1.0,1.0,1.0,1.0,0.0
65,2,5,1.0,1.0,1.4210526315789473,1.0,0.9736842105263158,0.02631578947368421
65,3,8,2.0,2.0,2.6052631578947367,2.0,0.9342105263157895,0.06578947368421052
65,4,9,2.0,2.0,2.736842105263158,3.0,0.9342105263157895,0.06578947368421052
65,5,10,2.0,2.0,3.1710526315789473,3.0,0.8947368421052632,0.10526315789473684
65,6,13,3.0,3.0,4.434210526315789,4.0,0.8289473684210527,0.17105263157894737
65,7,15,3.0,4.0,4.973684210526316,5.0,0.8157894736842105,0.18421052631578946
65,8,16,4.0,4.0,5.421052631578948,6.0,0.7894736842105263,0.21052631578947367
65,9,18,4.0,5.0,6.223684210526316,8.5,0.75,0.25
65,10,19,10.0,10.0,10.0,10.0,0.0,1.0
66,1,3,1.0,1.0,1.0,1.0,1.0,0.0
66,2,5,1.0,1.0,1.5432098765432098,2.0,0.9753086419753086,0.024691358024691357
66,3,6,1.0,2.0,1.9135802469135803,2.0,0.9753086419753086,0.024691358024691357
66,4,9,2.0,2.0,2.765432098765432,3.0,0.9506172839506173,0.04938271604938271
66,5,11,3.0,3.0,3.580246913580247,3.0,0.9135802469135802,0.08641975308641975
66,6,13,3.0,4.0,4.518518518518518,4.0,0.8641975308641975,0.13580246913580246
66,7,14,4.0,4.0,4.962962962962963,5.0,0.8641975308641975,0.13580246913580246
66,8,16,5.0,6.0,6.209876543209877,7.0,0.8148148148148148,0.18518518518518517
66,9,17,6.0,6.0,6.851851851851852,8.0,0.7901234567901234,0.20987654320987653
66,10,19,10.0,10.0,10.0,10.0,0.0,1.0
67,1,3,1.0,1.0,1.0,1.0,1.0,0.0
67,2,6,1.0,1.0,1.59375,2.0,0.984375,0.015625
67,3,9,2.0,2.0,2.359375,2.0,0.96875,0.03125
67,4,10,2.0,2.0,2.640625,3.0,0.953125,0.046875
67,5,12,3.0,3.0,3.1875,3.0,0.953125,0.046875
67,6,15,3.0,4.0,4.25,4.25,0.921875,0.078125
67,7,16,4.0,4.0,4.828125,5.0,0.890625,0.109375
67,8,17,4.0,4.0,5.265625,6.0,0.875,0.125
67,9,18,4.0,5.0,5.796875,7.0,0.859375,0.140625
67,10,19,10.0,10.0,10.0,10.0,0.0,1.0
68,1,3,1.0,1.0,1.0,1.0,1.0,0.0
68,2,6,1.0,1.0,1.5857142857142856,2.0,0.9857142857142858,0.014285714285714285
68,3,9,2.0,2.0,2.5142857142857142,2.0,0.9571428571428572,0.04285714285714286
68,4,10,2.0,2.0,2.7714285714285714,3.0,0.9428571428571428,0.05714285714285714
68,5,12,3.0,3.0,3.342857142857143,3.0,0.9428571428571428,0.05714285714285714
68,6,15,3.0,4.0,4.228571428571429,5.0,0.9285714285714286,0.07142857142857142
68,7,16,4.0,4.0,4.757142857142857,5.0,0.9,0.1
68,8,17,4.0,5.0,5.185714285714286,5.75,0.9,0.1
68,9,18,5.0,5.0,5.7,6.0,0.8714285714285714,0.12857142857142856
68,10,19,10.0,10.0,10.0,10.0,0.0,1.0
69,1,3,1.0,1.0,1.0,1.0,1.0,0.0
69,2,5,1.0,1.0,1.4444444444444444,1.0,0.9722222222222222,0.027777777777777776
69,3,6,1.0,1.5,1.7222222222222223,2.0,0.9722222222222222,0.027777777777777776
69,4,10,2.0,2.0,3.0416666666666665,3.0,0.9027777777777778,0.09722222222222222
69,5,12,2.0,3.0,3.486111111111111,3.0,0.9027777777777778,0.09722222222222222
69,6,14,3.0,3.0,4.319444444444445,4.0,0.875,0.125
69,7,15,3.0,4.0,4.652777777777778,5.0,0.8611111111111112,0.1388888888888889
69,8,17,4.0,5.0,5.638888888888889,6.25,0.8055555555555556,0.19444444444444445
69,9,18,4.0,5.0,6.180555555555555,7.25,0.7777777777777778,0.2222222222222222
69,10,19,10.0,10.0,10.0,10.0,0.0,1.0
70,1,3,1.0,1.0,1.0,1.0,1.0,0.0
70,2,6,1.0,1.0,1.5897435897435896,2.0,0.9871794871794872,0.01282051282051282
70,3,9,2.0,2.0,2.5128205128205128,2.0,0.9615384615384616,0.038461538461538464
70,4,12,3.0,3.0,3.423076923076923,3.0,0.9358974358974359,0.0641025641025641
70,5,13,3.0,3.0,4.089743589743589,4.0,0.8846153846153846,0.11538461538461539
70,6,14,3.0,4.0,4.358974358974359,4.0,0.8846153846153846,0.11538461538461539
70,7,15,3.25,4.0,4.653846153846154,5.0,0.8846153846153846,0.11538461538461539
70,8,17,4.0,5.0,5.615384615384615,6.0,0.8589743589743589,0.14102564102564102
70,9,18,5.0,6.0,6.1923076923076925,7.0,0.8461538461538461,0.15384615384615385
70,10,19,10.0,10.0,10.0,10.0,0.0,1.0
71,1,3,1.0,1.0,1.0,1.0,1.0,0.0
71,2,5,1.0,1.0,1.4583333333333333,1.0,0.9722222222222222,0.027777777777777776
71,3,9,2.0,2.0,2.5277777777777777,2.0,0.9583333333333334,0.041666666666666664
71,4,12,3.0,3.0,3.4305555555555554,3.0,0.9305555555555556,0.06944444444444445
71,5,13,3.0,3.0,4.111111111111111,4.0,0.8888888888888888,0.1111111111111111
71,6,14,3.0,4.0,4.430555555555555,4.0,0.8888888888888888,0.1111111111111111
71,7,15,3.75,4.0,4.791666666666667,5.0,0.875,0.125
71,8,17,4.0,5.0,5.902777777777778,6.25,0.8194444444444444,0.18055555555555555
71,9,18,5.0,6.0,6.444444444444445,7.0,0.8055555555555556,0.19444444444444445
71,10,19,10.0,10.0,10.0,10.0,0.0,1.0
72,1,3,1.0,1.0,1.0,1.0,1.0,0.0
72,2,8,2.0,2.0,2.2941176470588234,2.0,0.9705882352941176,0.029411764705882353
72,3,9,2.0,2.0,2.485294117647059,3.0,0.9705882352941176,0.029411764705882353
72,4,11,2.0,3.0,3.1911764705882355,3.0,0.9411764705882353,0.058823529411764705
72,5,12,3.0,3.0,3.4705882352941178,4.0,0.9411764705882353,0.058823529411764705
72,6,13,3.0,3.0,4.073529411764706,4.0,0.8970588235294118,0.10294117647058823
72,7,15,3.0,4.0,4.838235294117647,5.0,0.8823529411764706,0.11764705882352941
72,8,17,4.0,5.5,5.985294117647059,7.0,0.8529411764705882,0.14705882352941177
72,9,18,5.0,6.0,6.661764705882353,8.0,0.8235294117647058,0.17647058823529413
72,10,19,10.0,10.0,10.0,10.0,0.0,1.0
73,1,3,1.0,1.0,1.0,1.0,1.0,0.0
73,2,5,1.0,1.0,1.4029850746268657,1.0,0.9701492537313433,0.029850746268656716
73,3,9,2.0,2.0,2.5671641791044775,2.5,0.9552238805970149,0.04477611940298507
73,4,10,2.0,2.0,2.8805970149253732,3.0,0.9402985074626866,0.05970149253731343
73,5,12,3.0,3.0,3.417910447761194,3.0,0.9402985074626866,0.05970149253731343
73,6,14,3.0,4.0,4.3283582089552235,4.0,0.9104477611940298,0.08955223880597014
73,7,15,4.0,4.0,4.6716417910447765,5.0,0.9104477611940298,0.08955223880597014
73,8,16,4.0,5.0,5.164179104477612,5.5,0.8955223880597015,0.1044776119402985
73,9,18,5.0,6.0,6.388059701492537,7.0,0.8507462686567164,0.14925373134328357
73,10,19,10.0,10.0,10.0,10.0,0.0,1.0
74,1,3,1.0,1.0,1.0,1.0,1.0,0.0
74,2,6,1.0,2.0,1.6842105263157894,2.0,0.9868421052631579,0.013157894736842105
74,3,8,2.0,2.0,2.4342105263157894,2.0,0.9605263157894737,0.039473684210526314
74,4,10,2.0,2.5,2.986842105263158,3.0,0.9342105263157895,0.06578947368421052
74,5,11,2.0,3.0,3.263157894736842,3.0,0.9342105263157895,0.06578947368421052
74,6,13,3.0,3.0,4.131578947368421,4.0,0.8947368421052632,0.10526315789473684
74,7,14,3.0,4.0,4.355263157894737,4.25,0.8947368421052632,0.10526315789473684
74,8,16,4.0,5.0,5.171052631578948,5.25,0.881578947368421,0.11842105263157894
74,9,17,4.0,5.0,5.605263157894737,6.0,0.881578947368421,0.11842105263157894
74,10,19,10.0,10.0,10.0,10.0,0.0,1.0
75,1,3,1.0,1.0,1.0,1.0,1.0,0.0
75,2,5,1.0,1.0,1.4029850746268657,1.0,0.9701492537313433,0.029850746268656716
75,3,6,1.0,1.0,1.7164179104477613,2.0,0.9701492537313433,0.029850746268656716
75,4,9,2.0,2.0,2.656716417910448,2.0,0.9402985074626866,0.05970149253731343
75,5,10,2.0,2.0,3.0597014925373136,3.0,0.8955223880597015,0.1044776119402985
75,6,14,3.0,3.0,4.373134328358209,4.0,0.8656716417910447,0.13432835820895522
75,7,15,3.0,4.0,4.776119402985074,5.0,0.8656716417910447,0.13432835820895522
75,8,17,4.0,5.0,5.701492537313433,6.0,0.8507462686567164,0.14925373134328357
75,9,18,5.0,6.0,6.313432835820896,7.0,0.835820895522388,0.16417910447761194
75,10,19,10.0,10.0,10.0,10.0,0.0,1.0
76,1,3,1.0,1.0,1.0,1.0,1.0,0.0
76,2,5,1.0,1.0,1.5454545454545454,1.5,0.9636363636363636,0.03636363636363636
76,3,6,1.0,2.0,1.8909090909090909,2.0,0.9636363636363636,0.03636363636363636
76,4,9,2.0,2.0,2.8545454545454545,3.0,0.9272727272727272,0.07272727272727272
76,5,11,3.0,3.0,3.690909090909091,3.0,0.8909090909090909,0.10909090909090909
76,6,13,3.0,4.0,4.327272727272727,4.0,0.8727272727272727,0.12727272727272726
76,7,14,3.0,4.0,4.672727272727273,5.0,0.8727272727272727,0.12727272727272726
76,8,16,4.0,5.0,5.709090909090909,6.0,0.8363636363636363,0.16363636363636364
76,9,17,5.0,6.0,6.2,7.0,0.8181818181818182,0.18181818181818182
76,10,19,10.0,10.0,10.0,10.0,0.0,1.0
77,1,3,1.0,1.0,1.0,1.0,1.0,0.0
77,2,5,1.0,1.0,1.4307692307692308,1.0,0.9692307692307692,0.03076923076923077
77,3,8,2.0,2.0,2.5846153846153848,2.0,0.9384615384615385,0.06153846153846154
77,4,9,2.0,2.0,2.7384615384615385,3.0,0.9384615384615385,0.06153846153846154
77,5,11,2.0,3.0,3.6,3.0,0.8923076923076924,0.1076923076923077
77,6,13,3.0,4.0,4.523076923076923,4.0,0.8307692307692308,0.16923076923076924
77,7,15,4.0,4.0,5.184615384615385,5.0,0.8153846153846154,0.18461538461538463
77,8,16,4.0,5.0,5.6461538461538465,6.0,0.7846153846153846,0.2153846153846154
77,9,18,5.0,6.0,6.707692307692308,10.0,0.7384615384615385,0.26153846153846155
77,10,19,10.0,10.0,10.0,10.0,0.0,1.0
