age,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
0,68,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,68,14,2,0.07367647058823532,0.010558577745787586,0.04,0.08,0.04,0.36764705882352944
2,67,29,2,0.15020149253731346,0.015458432394673486,0.0886,0.16319999999999998,0.07459999999999999,0.4776119402985075
3,66,49,2,0.22847819696969698,0.018096606715423694,0.16753600000000002,0.2496,0.08206399999999997,0.5
4,64,59,2,0.30603625375,0.02282106997815221,0.24171386,0.33918794,0.09747408000000002,0.5
5,61,61,2,0.38555977479508197,0.025259825860518576,0.3185892812999999,0.43120377410000005,0.11261449280000013,0.4918032786885246
6,59,59,2,0.46413759966747453,0.02671726551066219,0.398756279877,0.511202143259,0.11244586338200002,0.4915254237288136
7,57,57,3,0.542465894062447,0.03270210667253597,0.43126819278511996,0.5951849640664799,0.16391677128135995,0.49122807017543857
8,55,55,3,0.6213289539719029,0.037612153063710345,0.5163677174222167,0.6909343174653226,0.17456660004310598,0.49090909090909096
9,51,51,4,0.6988782915830181,0.045270961002015796,0.604756718767883,0.789338178722008,0.184581459954125,0.5294117647058824
10,47,47,4,0.7742056805137097,0.05337232089400162,0.615212932765755,0.8646010564033968,0.24938812363764185,0.4893617021276596
