k,representation_mean_l1,representation_max_l1,transition_mean_l1,transition_max_l1,selected
10,1.4355280665999994,1.9999992363197248,1.3967942699981366,1.9999863787217453,0
20,1.1998567253546308,1.9999922399999994,1.1631604641875468,1.9994159999999999,0
30,0.997106307780348,1.9999663867584208,0.9668085803622334,1.9974154932675203,0
50,0.5883107240928556,1.9998061164,0.5676615556102413,1.9956050847801463,0
75,0.11783971409684468,0.3823166598517401,0.1166231533830844,0.32231665985174013,0
100,0.07617743267140735,0.28143668280000006,0.07676854031061438,0.2462453747394242,0
150,0.050334988853233606,0.15334809235289,0.05229722152752582,0.15334809235289,0
200,0.038150193469055814,0.11121438000000003,0.03998532360028203,0.11121438000000003,0
300,0.02711992684509324,0.06000000000000003,0.029466890042117798,0.06000000000000003,0
400,0.018262346870003436,0.05476038000000002,0.02050404247597767,0.05476038000000002,1
500,0.010562613658496112,0.04774095749049998,0.011859170163221494,0.04774095749049998,0
686,0.0,0.0,0.0,0.0,0
