k,representation_mean_l1,representation_max_l1,transition_mean_l1,transition_max_l1,selected
10,1.3661550728061191,1.9999999999999984,1.3046296836034252,1.999999999999998,0
20,1.1665046337074283,1.9999999999999998,1.1220809907295664,2.0,0
30,0.8871164659207602,1.9999999997886546,0.845181160496969,1.9918323228311996,0
50,0.2758560667754133,1.9999999811820002,0.2284508566529498,1.9598,0
75,0.08792220403245311,0.2998267392568467,0.09178763259296932,0.2998267392568467,0
100,0.05757904072212992,0.20782505636465154,0.0614516228663764,0.20782505636465154,0
150,0.03736979942600543,0.12326068166844362,0.04137262493742328,0.12326068166844362,0
200,0.02584297332492136,0.06000000000000003,0.028948677047318874,0.06000000000000003,0
300,0.012633335701146466,0.05261518427412721,0.014870847473829083,0.05261518427412721,1
400,0.0024472208736463046,0.039170510661999974,0.0028806523635291647,0.039170510661999974,0
432,0.0,0.0,0.0,0.0,0
