age,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
0,80,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,80,19,2,0.07275000000000001,0.011508149286483905,0.04,0.08,0.04,0.38749999999999996
2,79,46,2,0.14782151898734178,0.017384145773518926,0.0886,0.16319999999999998,0.07459999999999999,0.4810126582278481
3,78,62,2,0.2253943461538462,0.021712655876845913,0.16753600000000002,0.24959999999999996,0.08206399999999994,0.5
4,77,76,3,0.3021112411688311,0.027929128120296198,0.22298618,0.33918025,0.11619407000000001,0.48051948051948057
5,75,75,3,0.37768365641600005,0.033836408993108226,0.3006232809,0.43195107390000004,0.13132779300000003,0.4933333333333333
6,72,72,3,0.4538663673100694,0.04072372399703095,0.3386720138970001,0.5119859133429999,0.17331389944599984,0.5
7,69,69,3,0.5301567987365595,0.04711227192073405,0.3809322130879101,0.59514043676286,0.2142082236749499,0.49275362318840576
8,64,64,4,0.6094482949281571,0.05100245481352274,0.46171031060400075,0.6815530654061317,0.21984275480213095,0.5
9,59,59,4,0.6917217778164779,0.052743035602669866,0.5756077498476383,0.7729029922363009,0.19729524238866258,0.5932203389830508
10,56,56,3,0.7690728917963635,0.05696907342336473,0.6480661063783373,0.8662823253490775,0.21821621897074017,0.5
