x,y,xhat,yhat,belief_id,uncertainty
0,3,4,3,43,1650
3,2,4,3,43,1650
2,1,4,3,43,1650
2,3,4,3,43,1650
1,0,4,3,43,1650
1,4,4,3,43,1650
5,2,4,3,43,1650
4,1,4,3,43,1650
4,3,4,3,43,1650
3,0,4,3,43,1650
3,4,4,3,43,1650
2,0,4,3,43,1650
2,5,4,3,43,1650
0,3,4,3,44,1136
2,3,4,3,44,1136
1,2,4,3,44,1136
1,4,4,3,44,1136
4,3,4,3,44,1136
3,2,4,3,44,1136
3,4,4,3,44,1136
2,1,4,3,44,1136
2,5,4,3,44,1136
2,5,2,5,0,0
2,6,4,4,35,3772
0,1,3,2,45,2583
1,1,3,2,45,2583
0,0,3,2,45,2583
0,2,3,2,45,2583
2,1,3,2,45,2583
1,0,3,2,45,2583
1,2,3,2,45,2583
0,3,3,2,45,2583
3,1,3,2,45,2583
2,0,3,2,45,2583
2,2,3,2,45,2583
1,3,3,2,45,2583
0,4,3,2,45,2583
4,1,3,2,45,2583
3,0,3,2,45,2583
3,2,3,2,45,2583
2,3,3,2,45,2583
1,4,3,2,45,2583
0,5,3,2,45,2583
6,1,3,2,45,2583
5,0,3,2,45,2583
5,2,3,2,45,2583
4,0,3,2,45,2583
4,3,3,2,45,2583
3,4,3,2,45,2583
2,5,3,2,45,2583
1,6,3,2,45,2583
0,3,4,3,46,1646
1,3,4,3,46,1646
0,2,4,3,46,1646
0,4,4,3,46,1646
2,3,4,3,46,1646
1,2,4,3,46,1646
1,4,4,3,46,1646
0,1,4,3,46,1646
0,5,4,3,46,1646
4,3,4,3,46,1646
3,2,4,3,46,1646
3,4,4,3,46,1646
2,1,4,3,46,1646
2,5,4,3,46,1646
1,0,4,3,46,1646
1,6,4,3,46,1646
0,4,2,3,47,1138
1,4,2,3,47,1138
0,3,2,3,47,1138
0,5,2,3,47,1138
3,4,2,3,47,1138
2,3,2,3,47,1138
2,5,2,3,47,1138
1,2,2,3,47,1138
1,6,2,3,47,1138
1,6,1,6,0,0
1,7,4,4,35,3772
0,3,4,3,48,2127
1,3,4,3,48,2127
0,2,4,3,48,2127
0,4,4,3,48,2127
2,3,4,3,48,2127
1,2,4,3,48,2127
1,4,4,3,48,2127
0,1,4,3,48,2127
0,5,4,3,48,2127
3,3,4,3,48,2127
2,2,4,3,48,2127
2,4,4,3,48,2127
1,1,4,3,48,2127
1,5,4,3,48,2127
0,0,4,3,48,2127
0,6,4,3,48,2127
4,3,4,3,48,2127
3,2,4,3,48,2127
3,4,4,3,48,2127
2,1,4,3,48,2127
2,5,4,3,48,2127
1,0,4,3,48,2127
1,6,4,3,48,2127
0,7,4,3,48,2127
0,4,2,3,49,1655
1,4,2,3,49,1655
0,3,2,3,49,1655
0,5,2,3,49,1655
2,4,2,3,49,1655
1,3,2,3,49,1655
1,5,2,3,49,1655
0,2,2,3,49,1655
0,6,2,3,49,1655
3,4,2,3,49,1655
2,3,2,3,49,1655
2,5,2,3,49,1655
1,2,2,3,49,1655
1,6,2,3,49,1655
0,1,2,3,49,1655
0,7,2,3,49,1655
0,7,0,7,0,0
0,8,4,4,35,3772
0,0,4,5,50,4116
1,0,4,5,50,4116
0,1,4,5,50,4116
2,0,4,5,50,4116
1,1,4,5,50,4116
0,2,4,5,50,4116
3,0,4,5,50,4116
2,1,4,5,50,4116
1,2,4,5,50,4116
0,3,4,5,50,4116
4,0,4,5,50,4116
3,1,4,5,50,4116
2,2,4,5,50,4116
1,3,4,5,50,4116
0,4,4,5,50,4116
5,0,4,5,50,4116
4,1,4,5,50,4116
3,2,4,5,50,4116
2,3,4,5,50,4116
1,4,4,5,50,4116
0,5,4,5,50,4116
6,0,4,5,50,4116
5,1,4,5,50,4116
4,2,4,5,50,4116
3,3,4,5,50,4116
2,4,4,5,50,4116
1,5,4,5,50,4116
0,6,4,5,50,4116
7,0,4,5,50,4116
6,1,4,5,50,4116
5,2,4,5,50,4116
4,3,4,5,50,4116
3,4,4,5,50,4116
2,5,4,5,50,4116
1,6,4,5,50,4116
0,7,4,5,50,4116
0,0,4,3,51,3008
1,0,4,3,51,3008
0,1,4,3,51,3008
2,0,4,3,51,3008
1,1,4,3,51,3008
0,2,4,3,51,3008
3,0,4,3,51,3008
2,1,4,3,51,3008
1,2,4,3,51,3008
0,3,4,3,51,3008
4,0,4,3,51,3008
3,1,4,3,51,3008
2,2,4,3,51,3008
1,3,4,3,51,3008
0,4,4,3,51,3008
5,0,4,3,51,3008
4,1,4,3,51,3008
3,2,4,3,51,3008
2,3,4,3,51,3008
1,4,4,3,51,3008
0,5,4,3,51,3008
7,0,4,3,51,3008
6,0,4,3,51,3008
6,1,4,3,51,3008
5,1,4,3,51,3008
5,2,4,3,51,3008
4,2,4,3,51,3008
4,3,4,3,51,3008
3,3,4,3,51,3008
3,4,4,3,51,3008
2,4,4,3,51,3008
2,5,4,3,51,3008
1,5,4,3,51,3008
1,6,4,3,51,3008
8,0,4,5,50,4116
7,1,4,5,50,4116
6,2,4,5,50,4116
5,3,4,5,50,4116
4,4,4,5,50,4116
3,5,4,5,50,4116
2,6,4,5,50,4116
1,7,4,5,50,4116
0,1,3,2,52,3009
1,1,3,2,52,3009
0,0,3,2,52,3009
0,2,3,2,52,3009
2,1,3,2,52,3009
1,0,3,2,52,3009
1,2,3,2,52,3009
0,3,3,2,52,3009
3,1,3,2,52,3009
2,0,3,2,52,3009
2,2,3,2,52,3009
1,3,3,2,52,3009
0,4,3,2,52,3009
4,1,3,2,52,3009
3,0,3,2,52,3009
3,2,3,2,52,3009
2,3,3,2,52,3009
1,4,3,2,52,3009
0,5,3,2,52,3009
5,1,3,2,52,3009
4,0,3,2,52,3009
4,2,3,2,52,3009
3,3,3,2,52,3009
2,4,3,2,52,3009
1,5,3,2,52,3009
0,6,3,2,52,3009
6,1,3,2,52,3009
5,0,3,2,52,3009
5,2,3,2,52,3009
4,3,3,2,52,3009
3,4,3,2,52,3009
2,5,3,2,52,3009
1,6,3,2,52,3009
0,7,3,2,52,3009
0,8,4,5,50,4116
0,0,4,4,53,3003
1,0,4,4,53,3003
0,1,4,4,53,3003
2,0,4,4,53,3003
1,1,4,4,53,3003
0,2,4,4,53,3003
3,0,4,4,53,3003
2,1,4,4,53,3003
1,2,4,4,53,3003
0,3,4,4,53,3003
4,0,4,4,53,3003
3,1,4,4,53,3003
2,2,4,4,53,3003
1,3,4,4,53,3003
0,4,4,4,53,3003
6,0,4,4,53,3003
5,0,4,4,53,3003
5,1,4,4,53,3003
4,1,4,4,53,3003
4,2,4,4,53,3003
3,2,4,4,53,3003
3,3,4,4,53,3003
2,3,4,4,53,3003
2,4,4,4,53,3003
1,4,4,4,53,3003
1,5,4,4,53,3003
8,0,4,4,53,3003
7,0,4,4,53,3003
7,1,4,4,53,3003
6,1,4,4,53,3003
6,2,4,4,53,3003
5,2,4,4,53,3003
5,3,4,4,53,3003
4,3,4,4,53,3003
4,4,4,4,53,3003
3,4,4,4,53,3003
3,5,4,4,53,3003
