k,representation_mean_l1,representation_max_l1,transition_mean_l1,transition_max_l1,selected
10,1.343620416446902,1.9999982830699998,1.2941261667815642,1.9998442701899994,0
20,1.130797886215575,1.9999982830699998,1.0866918578683482,1.9998442701899994,0
30,0.7378795806542856,1.9999982830699998,0.6764886221172203,1.999416,0
50,0.31613214093980185,1.999998,0.26553118299426337,1.9943918479999998,0
75,0.11201978594776979,0.3823166598517401,0.11193135689393746,0.3223166598517401,0
100,0.07079344695176162,0.28180181020000006,0.07128432627263612,0.26180181020000004,0
150,0.04676903307097554,0.1348817800000001,0.04817904894649197,0.1348817800000001,0
200,0.03689184433705131,0.10714781020000004,0.03880264473604754,0.10714781020000004,0
300,0.025183036711663446,0.059000000000000025,0.028283140725072268,0.059000000000000025,0
400,0.016483050860439687,0.05421020299540659,0.01851216167462535,0.05421020299540659,1
500,0.009329170887466907,0.039984000000000026,0.010477618568386105,0.039984000000000026,0
666,0.0,0.0,0.0,0.0,0
