age,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
0,76,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,76,16,2,0.07355263157894738,0.010476031210191077,0.04,0.08,0.04,0.39473684210526316
2,74,35,2,0.14874054054054053,0.01661788290186955,0.08860000000000001,0.16319999999999998,0.07459999999999997,0.3918918918918919
3,72,57,2,0.2259139166666667,0.020956853085400382,0.16811200000000004,0.24959999999999996,0.08148799999999992,0.4444444444444444
4,68,64,2,0.3044419119117648,0.026163845869819232,0.24171396999999997,0.33919993,0.09748596000000001,0.5
5,66,66,2,0.383962950719697,0.02954645752122732,0.3130124968,0.4312041183000001,0.11819162150000012,0.5
6,63,63,3,0.46336723924793644,0.03437715955405084,0.379060707868,0.511999354767,0.13293864689899998,0.4920634920634921
7,60,60,3,0.5412954417125303,0.04068958033401527,0.4483720180616701,0.60798583228686,0.1596138142251899,0.5
8,52,52,3,0.6247713939784437,0.04352860054725587,0.5200622702204499,0.7063828153694485,0.18632054514899854,0.5
9,48,48,4,0.7072119239983016,0.046969737820280556,0.5956487788093652,0.8009345329351917,0.2052857541258265,0.5416666666666667
10,43,43,3,0.7891093183631577,0.04797160654946953,0.675033081200734,0.8761212249387667,0.20108814373803263,0.4883720930232558
