map,metric,raw_sigma_candidates,state_count,cluster_frobenius_weighted_mean,cluster_frobenius_weighted_rmse,cluster_frobenius_max,cluster_bures_weighted_mean,cluster_bures_weighted_rmse,cluster_bures_max,transition_frobenius_mean,transition_frobenius_rmse,transition_frobenius_max,transition_bures_mean,transition_bures_rmse,transition_bures_max,unique_gstate_edges,self_loop_fraction,transition_rows
10,frobenius,256,100,0.00755661631986635,0.014055944099960457,0.035310196827545416,0.010641732685515208,0.022824125599015595,0.19748417658131498,0.022143115586304975,0.02951270675488703,0.06172973351635338,0.022530613095297577,0.029976666333076368,0.19748417658131498,345,0.093,7000
10,bures_wasserstein,256,100,0.007756546646017117,0.015051680798761555,0.06172973351635338,0.00795503580435627,0.015217214081493059,0.04841154846300409,0.020367349003054248,0.02777225745750011,0.06888446849617118,0.022615660140774426,0.029467777695160548,0.08306443965872455,363,0.07628571428571429,7000
11,frobenius,259,100,0.008217172407510005,0.013826281111807186,0.03989774429714038,0.011854699629107667,0.023764630415583327,0.19748417658131498,0.023437641719619488,0.029585262695300825,0.06172973351635338,0.02483622043918322,0.031024344914342708,0.19748417658131498,347,0.09708333333333333,4800
11,bures_wasserstein,259,100,0.00818666858508523,0.014631274637941302,0.04649042912256244,0.008817962960572146,0.01570382932113091,0.054376724024015076,0.022618066854062577,0.029057660851600334,0.06743767493026433,0.02555800773488306,0.0314607698280626,0.08550829036600892,366,0.10270833333333333,4800
12,frobenius,303,100,0.008598538323234817,0.01530520605627601,0.054305800795126834,0.0123699247007976,0.025061334363266227,0.19748417658131498,0.02140475547470637,0.02803420230123602,0.06172973351635338,0.02230430020369422,0.028994514877315657,0.19748417658131498,337,0.10493333333333334,7500
12,bures_wasserstein,303,100,0.009114062633147332,0.01691636664566192,0.06076915335924963,0.00982381858640282,0.01789669963307706,0.05488907667835236,0.021496996407891027,0.028017134305039524,0.067963078211629,0.024161269302085835,0.030181905422241286,0.08306443965872455,346,0.09533333333333334,7500
13,frobenius,303,100,0.010018574624594892,0.016713777844116668,0.05076386510107361,0.014026775835670368,0.026003518819550514,0.19748417658131498,0.021416574467423885,0.02948246390276299,0.06172973351635338,0.021366388034351036,0.0288494162481881,0.19748417658131498,314,0.11458333333333333,7200
13,bures_wasserstein,303,100,0.011412280039786796,0.01958851855479627,0.06440403714053958,0.011850565791994,0.019853874421160482,0.05598363872195759,0.024247626604742195,0.030638938574049757,0.06936540924697268,0.025689391262021268,0.031008753655271882,0.08550829036600892,330,0.11486111111111111,7200
14,frobenius,344,100,0.01200731723559005,0.01840805893252644,0.054305800795126834,0.016939542338820383,0.029210442156927766,0.19748417658131498,0.02506806362255607,0.031488609866923103,0.06172973351635338,0.025892635348156376,0.03206352471034834,0.19748417658131498,315,0.155,7400
14,bures_wasserstein,344,100,0.01165448504276122,0.018995186988099676,0.059074106002545645,0.01302222254735179,0.021038256893570677,0.05941788025618689,0.025164234291314917,0.031418994685173667,0.07104097409242077,0.02788349421051013,0.03351845118702758,0.07254467480466564,328,0.12905405405405404,7400
15,frobenius,258,100,0.009366092240426132,0.015937108375036677,0.0512183560845133,0.01456818022449836,0.02783622532606789,0.19748417658131498,0.022395722573612317,0.028960392246093283,0.06172973351635338,0.022844825675058772,0.02940671944809983,0.19748417658131498,310,0.10539682539682539,6300
15,bures_wasserstein,258,100,0.009462819350108606,0.0175034501291419,0.06076915335924963,0.010382748560122506,0.01866773083396248,0.05238564646851995,0.022868514616221587,0.029584930795232427,0.06172973351635338,0.024787387676874828,0.03074424788624204,0.08492964435635521,319,0.10714285714285714,6300
16,frobenius,308,100,0.00917456688558717,0.015563334858273124,0.039897744297140415,0.013075060434067932,0.025781990291086715,0.19748417658131498,0.022987475382816234,0.028895398480264928,0.06172973351635338,0.023834301490817823,0.030403504594797424,0.19748417658131498,358,0.082,7500
16,bures_wasserstein,308,100,0.009204455450503784,0.016593254918388103,0.060769153359249636,0.009727351726133694,0.017200193468910007,0.0490044938576881,0.021721312077282177,0.02785264609811129,0.06301777527015692,0.02461773684831514,0.03060381535489901,0.08306443965872455,366,0.07573333333333333,7500
17,frobenius,250,100,0.005891789166265833,0.011930204745773384,0.035310196827545444,0.008966871094305287,0.021308296764676975,0.19748417658131498,0.021088166020712604,0.02835229488066115,0.06172973351635338,0.022523227890715872,0.030514198086223653,0.19748417658131498,348,0.07367647058823529,6800
17,bures_wasserstein,250,100,0.007195792458971022,0.015244989622461444,0.054305800795126834,0.007430181912622423,0.015212213822458444,0.04600558413273921,0.02169744641130333,0.02857889114569727,0.06172973351635338,0.025075743868435803,0.03161906766618861,0.08594445178532838,352,0.0863235294117647,6800
18,frobenius,268,100,0.007644997727815207,0.01434971271539353,0.040788969097048766,0.010953484891683924,0.021918269712815158,0.08550829036600892,0.022587996634007988,0.02972730415508155,0.06172973351635338,0.023224976845521376,0.030620679755136,0.12677720779305812,331,0.09520547945205479,7300
18,bures_wasserstein,268,100,0.007947190715174919,0.016064237987540645,0.05896448083380365,0.008403510903141015,0.0167342651788454,0.05579383875891173,0.021332250474090552,0.028565489740411378,0.06172973351635338,0.02403417063182641,0.030861766190458304,0.07639472238629155,331,0.0889041095890411,7300
19,frobenius,301,100,0.009656064441965094,0.016001440989613275,0.0512183560845133,0.014918510989181982,0.028713322653219676,0.19748417658131498,0.024232321542737818,0.03068554105520553,0.06172973351635338,0.02534381357465751,0.03220844141235745,0.19748417658131498,344,0.10044776119402984,6700
19,bures_wasserstein,301,100,0.010723535931314065,0.018730755052429767,0.06440403714053958,0.011437085235969069,0.019527833886793803,0.05584508449358955,0.025569720937619143,0.03201107627802545,0.07264000275330393,0.028900360858293794,0.03475164128107175,0.08742739640671283,333,0.10537313432835821,6700
20,frobenius,263,100,0.0084360021304645,0.014157899327242167,0.03531019682754543,0.012320937856441009,0.02251885742186598,0.08550829036600892,0.02233098159690549,0.029194960461122264,0.06172973351635338,0.022762717253485002,0.028944064088558433,0.09349399079916143,312,0.1326530612244898,4900
20,bures_wasserstein,263,100,0.0088343421081763,0.016114123611201608,0.06172973351635338,0.009555374873284424,0.01719597960831161,0.050863559813029334,0.022512862926178698,0.029236726344563722,0.07334861961891308,0.02397813811524384,0.029559103206739767,0.0736020127082976,330,0.10306122448979592,4900
21,frobenius,272,100,0.008070589640135292,0.014728038657587324,0.050763865101073634,0.012059248698459478,0.024851168990084202,0.19748417658131498,0.021910117934589822,0.029328028402876936,0.06172973351635338,0.021725694352107135,0.02892411645923264,0.19748417658131498,307,0.1076388888888889,7200
21,bures_wasserstein,272,100,0.008144410957946947,0.016239194141963086,0.06440403714053958,0.00894117327614112,0.01747421911788704,0.057604904145692526,0.02320042190977011,0.030288146379583457,0.0745172463259345,0.02490268041872919,0.03117717771089224,0.08492964435635521,323,0.09833333333333333,7200
