age,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
0,61,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,61,10,2,0.07377049180327871,0.009609410419510063,0.04,0.08,0.04,0.42622950819672134
2,60,27,2,0.14885500000000002,0.01394316349804926,0.1098,0.16319999999999998,0.05339999999999999,0.44999999999999996
3,58,43,2,0.22450386206896553,0.018289152731500367,0.180313,0.2496,0.06928699999999999,0.48275862068965514
4,56,52,3,0.2974122864285715,0.024847306902729457,0.22298617999999998,0.33743573000000004,0.11444955000000007,0.5
5,53,53,3,0.37106688488113215,0.027523386103814933,0.29995607129999996,0.4127950289999998,0.11283895769999985,0.4528301886792453
6,50,50,2,0.4445512550781401,0.028847425394571292,0.38803678640200007,0.498387129011,0.11035034260899995,0.45999999999999996
7,47,47,2,0.5162604513421025,0.03313102511385824,0.45603094373544,0.5679763257639399,0.11194538202849985,0.4893617021276596
8,44,44,2,0.5863817998403066,0.03715374544771966,0.5247467589374044,0.651468746041482,0.12672198710407756,0.5
9,41,41,4,0.657840029452943,0.04076183919009285,0.5362936068400184,0.7262173691605832,0.18992376232056485,0.5365853658536586
10,36,36,2,0.729227713203311,0.03329264613220535,0.6787775484632379,0.8121888574875176,0.13341130902427967,0.5
