k,representation_mean_l1,representation_max_l1,transition_mean_l1,transition_max_l1,selected
10,1.32703530828352,1.9999980757049427,1.2770850175397286,1.999957455534001,0
20,1.0270044076319214,1.99999883588,0.972502548620553,1.9999414112,0
30,0.8087056660744575,1.9999980035440008,0.7606949473607008,1.9999414112,0
50,0.5015162517820584,1.9979142648000001,0.4834127723256073,1.96,0
75,0.10985376316479052,0.3324622937200001,0.1113278832624208,0.3164636369779646,0
100,0.06837794438070843,0.19387652847461637,0.07016302149457174,0.19387652847461637,0
150,0.04367374145324404,0.1366485462032359,0.045171347717514354,0.1366485462032359,0
200,0.03454230347050127,0.09400193459999995,0.03639912143639589,0.09400193459999995,0
300,0.024078234534732824,0.05802799999999997,0.027093398072177005,0.05802799999999997,0
400,0.01491243258895356,0.05219665851180009,0.016779821285244703,0.05219665851180009,1
500,0.007917654589990638,0.03995284000000002,0.008909131908951897,0.03995284000000002,0
629,0.0,0.0,0.0,0.0,0
