age,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
0,70,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,70,15,2,0.07314285714285715,0.011531677754634607,0.04,0.08,0.04,0.34285714285714286
2,69,36,2,0.1501144927536232,0.015527920391965658,0.11099999999999999,0.16319999999999998,0.052199999999999996,0.42028985507246375
3,68,47,3,0.2287631764705882,0.020535403661897992,0.15947199999999997,0.24959999999999996,0.09012799999999999,0.4852941176470589
4,67,64,3,0.30829329044776116,0.026582074688395504,0.22298618,0.33919984999999997,0.11621366999999996,0.4925373134328358
5,65,65,3,0.39005158060769235,0.028895679912840744,0.31165541620000003,0.4319870933000001,0.12033167710000009,0.49230769230769234
6,64,64,3,0.4700554203416719,0.03268707338429685,0.387083163828,0.52789098229,0.14080781846199997,0.5
7,62,62,3,0.5475266605102481,0.038305782548437715,0.4543843683475601,0.6078839086068801,0.15349954025932006,0.5
8,59,59,3,0.6230659466300261,0.047236240566189205,0.49479688267918154,0.706168389328204,0.2113715066490225,0.4915254237288136
9,55,55,5,0.6968338768534672,0.057185973715322684,0.5456553577525313,0.7885583706309818,0.2429030128784505,0.5272727272727273
10,49,49,4,0.7711741946527713,0.059599842025465824,0.6149039951226571,0.8691898469038407,0.25428585178118357,0.4897959183673469
