k,representation_mean_l1,representation_max_l1,transition_mean_l1,transition_max_l1,selected
10,1.4415141890967071,1.9999999999998601,1.4074119837349333,1.9999086556585168,0
20,0.9800099848302619,1.9999994524,0.9250189396272673,1.9999469520219997,0
30,0.7337028604492883,1.99999822941438,0.6816854313199928,1.999645882876,0
50,0.4505426408869538,1.98,0.44316323396059254,1.92182312,0
75,0.0966672993524638,0.3823166598517401,0.0957625382811109,0.3469653632918821,0
100,0.06597128707188805,0.18858731085361907,0.06635138012629303,0.18858731085361907,0
150,0.04276809083100583,0.174266,0.043246200954233864,0.116242,0
200,0.033697851367904604,0.096852,0.036114777526359144,0.096852,0
300,0.021818924363662565,0.05724199999999997,0.024535509808150197,0.05724199999999997,0
400,0.011861948677798375,0.05071842508489998,0.013338831615943233,0.05071842508489998,1
500,0.004460348198468442,0.03936735608740362,0.005015687993929927,0.03936735608740362,0
569,0.0,0.0,0.0,0.0,0
