age,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
0,68,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,68,15,2,0.07455882352941179,0.009766964657247253,0.04,0.08,0.04,0.3382352941176471
2,66,36,2,0.15096060606060607,0.015267155068155784,0.1098,0.16319999999999998,0.05339999999999999,0.48484848484848486
3,64,52,2,0.228536359375,0.021209954665621627,0.180313,0.2496,0.06928699999999999,0.5
4,62,62,3,0.3054879517741936,0.028437852616155727,0.23448177999999997,0.33919985,0.10471807000000005,0.5
5,60,60,3,0.38263559023666666,0.03664177316087837,0.30102732340000005,0.4319874375,0.13096011409999997,0.5
6,57,57,3,0.4617534499935613,0.04465314508978441,0.37083660738300006,0.5271946534959999,0.15635804611299986,0.49122807017543857
7,54,54,4,0.5405748274875083,0.053342695062196736,0.38047902096599,0.6071945268658401,0.22671550589985007,0.5
8,51,51,3,0.6236698192821309,0.054401624263055684,0.5049725141469213,0.690393420162649,0.1854209060157277,0.4901960784313726
9,49,49,3,0.7026445012675084,0.05836539664861632,0.5805019145258485,0.7767261571290632,0.1962242426032147,0.4897959183673469
10,47,47,3,0.7760539473797615,0.0648931944850842,0.6564982932821356,0.8750458864231611,0.21854759314102545,0.4893617021276596
