k,maps,raw_state_occurrences,non_medoid_state_occurrence_rate,state_wasserstein_mean_weighted,state_mse_abs_mean_weighted,state_mse_rel_mean_weighted,state_urc_threshold_mismatch_rate,urc_threshold_decision_mismatch_rate,transition_mismatch_rate,transition_endpoint_wasserstein_mean_weighted,transition_endpoint_mse_abs_mean_weighted
50,90,58911,0.6490129177912444,0.0441246869267656,0.030553115716928963,0.0935810605798172,0.3870244945765646,0.040160581215732204,0.3079640272659577,0.06385988848842622,0.04841700112653471
100,90,58911,0.49118161294155593,0.02683955720924255,0.02154939145490656,0.05795089230105828,0.2744478959786797,0.028149242077031456,0.1942985889675978,0.03853401105735671,0.03171016745269511
150,90,58911,0.3812021523993821,0.017684839604434233,0.014124370660827347,0.0369777765684825,0.18185058817538322,0.01855341107772742,0.11028583430393524,0.02450410677055351,0.019356225536058647
200,90,58911,0.28305409855544805,0.011109889854962236,0.00826754256420702,0.023063960253560535,0.10634686221588498,0.010729744869379233,0.0625322208007943,0.015034147582751687,0.01092381570656636
300,90,58911,0.11059055184939995,0.0030415687062598736,0.0021311571692892673,0.005173691915745406,0.030164145915024358,0.003016414591502436,0.022645256143432685,0.004228444054999642,0.002782880491856491
