map_id,metric,age,count,min,median,mean,max,range,std,cv
10,gini,0,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,gini,1,70,0.058600000000000096,0.058800000000000074,0.05879428571428586,0.058800000000000074,0.00019999999999997797,3.3319725113398e-05,0.0005667170662692813
10,gini,2,68,0.1133798800000001,0.11375452000000008,0.11366531588235315,0.11394460000000006,0.000564719999999963,0.00011279783459325674,0.0009923681091073176
10,gini,3,66,0.1644224366760001,0.16495053144000005,0.1648810691568484,0.16549102296000007,0.0010685862839999727,0.0002126822546154426,0.001289913121639949
10,gini,4,63,0.19646290091152951,0.21266107700626202,0.2124369900819191,0.21368737988201825,0.017224478970488732,0.0020561498764690494,0.009678869370518595
10,gini,5,60,0.24185417213384486,0.25743623712263786,0.2568595056223524,0.258758200957126,0.016904028823281125,0.0028140615138945177,0.010955644826444115
10,gini,6,57,0.2697318550990221,0.29905154894216757,0.29838144012239143,0.30092683746313675,0.031194982364114665,0.004349043624894541,0.014575449542406629
10,gini,7,52,0.31006844110623977,0.3380795336712275,0.3374331014021934,0.3403755079459536,0.030307066839713848,0.004391150518018041,0.013013395839859051
10,gini,8,46,0.3478599942345527,0.37445321028152295,0.3737178029265538,0.3773109242157592,0.029450929981206464,0.004865831304248827,0.013020068260449184
10,gini,9,44,0.3833157557580409,0.4084970129022666,0.40707877976248147,0.4118748931676425,0.028559137409601587,0.00623989875999531,0.015328479572519375
10,gini,10,40,0.41658520551440925,0.44033827573957113,0.43907379195278784,0.4441883138103221,0.027603108295912837,0.006249844437077015,0.01423415505917748
10,entropy,0,77,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
10,entropy,1,70,0.15383759322861115,0.16770053683981007,0.16730445273663283,0.16770053683981007,0.013862943611198913,0.0023095473519386795,0.013804458364143605
10,entropy,2,68,0.28685479088589794,0.3064572217080279,0.3059995527755684,0.33145452176655904,0.044599730880661104,0.01300247279178807,0.04249180325215891
10,entropy,3,66,0.3981463764014003,0.43617625114597064,0.4285727396646814,0.46697932939176207,0.06883295299036174,0.017107904585285588,0.039918321913500476
10,entropy,4,63,0.4979820957733645,0.5396855225639667,0.5392705267211252,0.59140982969399,0.09342773392062553,0.021511517007864148,0.03989002910776259
10,entropy,5,60,0.5894965139068037,0.6461792874385839,0.6436518366569663,0.6970438166062195,0.10754730269941581,0.02627235820585375,0.040817654373999056
10,entropy,6,57,0.6587172304906704,0.7372521475290967,0.743105732250752,0.8185088071901996,0.15979157669952915,0.034628783194636074,0.04660007545595276
10,entropy,7,52,0.7420159322608254,0.8280475836398646,0.8373252635402845,0.9223664524784347,0.18035052021760933,0.04185992305633504,0.04999242812685195
10,entropy,8,46,0.8327198392270679,0.9107616271578601,0.928271350358894,1.0182324977897361,0.1855126585626682,0.04582993383894095,0.04937126824093181
10,entropy,9,44,0.9295644689640737,0.9898658920159642,1.0094437308328852,1.1074588444559883,0.17789437549191456,0.0502242541387885,0.049754387099267834
10,entropy,10,40,1.0064626942797772,1.0624790582943962,1.091156808744031,1.1902156675381736,0.18375297325839646,0.05249451222305945,0.04810904519166491
10,map_uncertainty,0,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,map_uncertainty,1,70,0.030000000000000027,0.030000000000000027,0.030000000000000034,0.030000000000000027,0.0,6.938893903907228e-18,2.31296463463574e-16
