metric,mean_corr_age,median_corr_age,mean_map_median_conditional_cv,median_map_median_conditional_cv,conditional_variation_rate,max_conditional_range_seen
gini,0.9948903103018932,0.9949999087355617,0.0007907696703745395,0.0008108225097561561,0.8588066887891209,0.08213420269625893
entropy,0.9903310352469846,0.9903337167352186,0.021334485235572607,0.020245158173446062,0.8607586700501009,0.18658085168941352
map_uncertainty,0.99823413975464,0.9983496626765831,0.0010962012423138595,0.0011120027513471709,0.7893812219402694,0.05320879931911404
spatial_mse,0.9909329153551367,0.9912473485720292,0.026827975184707233,0.02424956974402856,0.925434315830568,0.32135328064250135
spatial_mae,0.9956348893420026,0.9958898601963907,0.015427068195961766,0.01450325251048574,0.925434315830568,0.12929756199121645
