lambda_mse,normalization,k,maps,state_wasserstein_mean_weighted,state_mse_abs_mean_weighted,state_mse_rel_mean_weighted,urc_threshold_decision_mismatch_rate,transition_id_mismatch_rate,successor_urc_level_mismatch_rate,successor_urc_level_abs_difference_mean_weighted,transition_endpoint_wasserstein_mean_weighted,transition_endpoint_mse_abs_mean_weighted
0.0,p95,100,90,0.02683955720924255,0.021548943321281263,0.057949972762864906,0.028149242077031456,0.1942604013518416,0.3617321902507017,0.4116243102361904,0.03853468658818332,0.03171090829244078
0.25,p95,100,90,0.027763379304837587,0.013772303983975822,0.042492551815082547,0.019590568824158477,0.20441830714299353,0.2709220399824337,0.28491780115708476,0.03974333971032594,0.020085391327592458
0.5,p95,100,90,0.028919990466398305,0.011105610157695504,0.037711996034650884,0.016474003157305087,0.20575487369446088,0.23210432856624597,0.23609493441276994,0.04167231064247681,0.01590897599908349
1.0,p95,100,90,0.031372683434502426,0.008353383918113763,0.03128510360936998,0.014050007638641341,0.20017948179405418,0.19504324747484392,0.19578790598209,0.04549211858898639,0.011822309205124783
2.0,p95,100,90,0.03648981108461087,0.005858946546485373,0.022241754770659934,0.011093004702008113,0.20995551142764401,0.15490806331506693,0.15494625093082312,0.05301783393255046,0.008507578332346818
