age,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
0,67,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,67,16,2,0.0746268656716418,0.009356673443974615,0.04,0.08,0.04,0.35820895522388063
2,65,42,2,0.14950615384615384,0.016144442977484682,0.1098,0.16319999999999998,0.05339999999999999,0.46153846153846156
3,62,57,2,0.22715412903225812,0.0212527117628239,0.180313,0.2496,0.06928699999999999,0.5
4,59,58,2,0.30624627305084745,0.026154946281626547,0.25485034,0.33918801,0.08433766999999998,0.4915254237288136
5,57,57,3,0.3854215333649123,0.032434298297268675,0.3116554162,0.43120411830000005,0.11954870210000007,0.49122807017543857
6,55,55,3,0.4657562070881636,0.03898523914668447,0.37906070786799995,0.511986976295,0.13292626842700006,0.49090909090909096
7,54,54,3,0.5467827809759181,0.044088390396776346,0.45371059614801007,0.6071938033426398,0.15348320719462977,0.5
8,53,53,3,0.6303978329041198,0.04765242582477437,0.5235997631280366,0.6909358619366074,0.1673360988085708,0.49056603773584906
9,52,52,3,0.7127481335480449,0.05048915756002234,0.5967469003483551,0.7893402809334193,0.19259338058506426,0.5
10,50,50,3,0.7940966883332069,0.053698647964442285,0.6736567547832313,0.8751134377962845,0.2014566830130532,0.5
