age,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
0,73,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,73,17,2,0.07342465753424657,0.011006744891288037,0.04,0.08,0.04,0.36986301369863017
2,72,40,2,0.14912083333333334,0.01664250696843611,0.1098,0.16319999999999998,0.05339999999999999,0.4305555555555556
3,70,59,3,0.2278819714285714,0.02185451858539061,0.159472,0.2496,0.09012799999999999,0.5
4,68,66,3,0.3072691805882353,0.028154374423038753,0.23448178,0.33919977999999995,0.10471799999999995,0.5
5,65,65,3,0.3883978344815385,0.03516285902674601,0.2958804248,0.4319870933,0.13610666850000003,0.49230769230769234
6,62,62,4,0.4698156367431614,0.04236943470049223,0.303135675877,0.5271936379810002,0.22405796210400014,0.5
7,59,59,4,0.5520491966792959,0.04712331662540766,0.3817791104267901,0.6078939284167999,0.22611481799000982,0.4915254237288136
8,54,54,4,0.6378522517336656,0.04923066839336459,0.4613396356082216,0.7062247294160346,0.24488509380781304,0.5
9,52,52,4,0.7193443621622345,0.05098880308023335,0.5464987975590986,0.8006849331244896,0.25418613556539105,0.5
10,49,49,3,0.7991953776863875,0.048310994946335374,0.6667091913044187,0.868962063074876,0.20225287177045725,0.4897959183673469
