h,input_state_records,global_unique_raw_sigma,global_unique_quantized_sigma,reduction_absolute,reduction_percent,mean_frobenius_error,rmse_frobenius_error,max_frobenius_error,weighted_mean_frobenius_error,weighted_rmse_frobenius_error,invalid_psd_raw_records,invalid_psd_quantized_records
0.01,41116,10629,8974,1655,15.5706087120143,0.004231097351379734,0.004445589705270787,0.008637129152675655,0.0036896232656296523,0.004093225025649561,0,0
0.025,41116,10629,2755,7874,74.08034622259855,0.013415195251998316,0.014067817203935478,0.024110578591149595,0.011471570329252993,0.012662087486251835,0,0
0.05,41116,10629,614,10015,94.22335120895663,0.02659890068063494,0.027918474231669856,0.04610032537846135,0.023042276320412825,0.025422854094488908,0,0
0.075,41116,10629,248,10381,97.66676074889453,0.03951785957273767,0.04176785620132877,0.07410344121564119,0.03360513763779791,0.037559064656864316,0,0
0.1,41116,10629,144,10485,98.64521591871295,0.05121427630046497,0.054039802334984836,0.09635906807353414,0.04440834424200375,0.04901308347079391,0,0
