map_id,unique_relative_beliefs,best_k_by_silhouette,best_silhouette,mean_l1_error_at_best_k,max_l1_error_at_best_k,iterations_at_best_k,converged_at_best_k,geometric_knee_k,mean_l1_error_at_geometric_knee,max_l1_error_at_geometric_knee,silhouette_at_geometric_knee,geometric_knee_distance
21,457,250,0.42778778848504206,0.0031569910244144323,0.036467382057999854,3,1,100,0.016869035679606893,0.05900799999999999,0.3296667143867119,0.2516670264543136
23,462,300,0.3447014538546237,0.0024987888219321604,0.033858165080580004,2,1,100,0.022684145071097322,0.058800000000000005,0.22102397628608664,0.22056864633007503
30,454,250,0.3737604507826942,0.004257817727195169,0.04,3,1,100,0.01950754049574812,0.07975604698645411,0.2656658864734537,0.2223678783942557
31,497,300,0.3894419778959241,0.0034200021210773735,0.04,2,1,100,0.022128815547734985,0.057280819999999996,0.25679209221836374,0.2369648360848069
32,505,300,0.41098556180406487,0.002490331094162115,0.04,2,1,100,0.02024480757139531,0.07369161860000001,0.3115099376338916,0.24443421992304548
40,369,250,0.30595445869719906,0.004232754479093817,0.04,2,1,100,0.021317403282865535,0.0588,0.24052174914019878,0.22479064241715907
43,552,300,0.3032413187711233,0.007392040253744445,0.04,4,1,100,0.026114176985217206,0.07703599999999998,0.22416526232377093,0.22205555528847107
44,564,300,0.39041183321421735,0.005339631177158728,0.0484182103299402,3,1,100,0.025215935135710806,0.08468056110795821,0.23509551891728434,0.21634534985535842
46,484,300,0.2968167510221635,0.004559961743647053,0.05430679620800005,3,1,100,0.023482752640868992,0.05807324012866008,0.23741384275860394,0.22544659877097104
47,557,300,0.3534590213373995,0.006772152151959905,0.050400579303978885,3,1,125,0.02244528076649751,0.06868880773645655,0.2527265154787186,0.22092336561997286
48,528,300,0.3319910561415467,0.006449602960689218,0.053200391855999875,2,1,100,0.025985431374877837,0.07226271782399993,0.20303733856626763,0.21561294476235465
49,549,300,0.42448157390219554,0.0036834131952910003,0.04,2,1,100,0.02141792757073889,0.07612162439999998,0.28028608571079255,0.2474558285912497
50,497,300,0.39376601752584595,0.003390583299098534,0.04,2,1,100,0.02133868810638791,0.05849723394677998,0.2630291123170383,0.23589677712860058
54,545,300,0.39438444323034344,0.004290194570022432,0.04772831327731374,3,1,100,0.02197046280873022,0.06815145934159299,0.2717638251567547,0.24545006588089194
55,508,300,0.3539627549029843,0.0043998365923577625,0.04,2,1,100,0.023939619218963912,0.07240066879572003,0.2366203275467425,0.22508624444606606
56,356,250,0.2899444408543007,0.0025161032457203807,0.02067450884346639,2,1,100,0.019073971732140545,0.05688185838350467,0.22100101896774024,0.21926660141513302
57,524,300,0.4143153566397163,0.0027857568597400226,0.03822199999999999,2,1,100,0.020556762590100953,0.09333361803000001,0.2619556020227001,0.24185056275556002
63,435,250,0.36842376457853776,0.005234774190307821,0.04,2,1,100,0.02078861054244587,0.060000000000000005,0.26779220645110846,0.232248074094965
66,519,300,0.32630290855330013,0.005376702771076304,0.04,3,1,100,0.024308224807719263,0.07820600000000004,0.24549407524837058,0.23642838738417812
71,495,300,0.42175863689453646,0.0030468660889602373,0.04,3,1,100,0.02216403544769337,0.0744333996,0.24874803681007165,0.22974838005249826
75,465,250,0.42705025402902097,0.003818915785560546,0.04,3,1,100,0.01810075049934177,0.059008000000000005,0.31015524448170156,0.24064639239470212
81,392,200,0.41828899815251946,0.0036696901459694524,0.04,2,1,75,0.01955265307785978,0.07653538079999997,0.2715267149142042,0.2466685438342797
82,517,300,0.3469929274668176,0.0060148220809051025,0.04,3,1,100,0.02515055840333954,0.07766338000000002,0.23898848869096684,0.2182436883022252
83,471,300,0.39830474379678266,0.00309198028687096,0.04,2,1,100,0.023154147628093813,0.06057139527199999,0.25127571831970763,0.21663281574734644
85,480,250,0.3732869501443579,0.005143594583495999,0.04000365999999999,2,1,100,0.020162426635529716,0.05817780160000002,0.29152226358646993,0.24836524577558283
87,433,250,0.4008603554687961,0.003130214188791778,0.034906630806000115,2,1,75,0.022193176313070405,0.07642520448000001,0.29546285076536194,0.24655667500944875
89,517,300,0.4011818781828552,0.004258729177094013,0.05211358930605989,3,1,100,0.02350046788527881,0.07781212,0.2408216210495908,0.22755704636509058
90,545,300,0.32116577676391295,0.00696309506146704,0.05039644508868826,3,1,100,0.026467620438133135,0.06036076740092001,0.18981825708635292,0.21624602180355332
97,499,300,0.3788343160466416,0.003031327177908444,0.038382154740472164,2,1,100,0.02200567049746005,0.07415846000000001,0.26540658023402436,0.22242814558910212
