map_id,unique_relative_beliefs,k,silhouette,mean_l1_error,max_l1_error,objective,iterations,converged,best_by_silhouette
11,352,25,0.2593771011739721,0.044825390847292264,0.1132088064,21.78513995178404,3,True,0
11,352,50,0.1927463543222006,0.030767727880301642,0.07683999999999996,14.953115749826598,5,True,0
11,352,75,0.21923036703445856,0.023078787797525282,0.06292945945334638,11.216290869597287,4,True,0
11,352,100,0.23744816255272314,0.018523998992261675,0.06292945945334638,9.002663510239174,4,True,0
11,352,125,0.2650244168115611,0.014697156226689856,0.06932977232752434,7.142817926171269,4,True,0
11,352,150,0.2628531456365682,0.012057740942772212,0.05745166,5.860062098187295,4,True,0
11,352,200,0.30853000355347826,0.005945746659008431,0.05377714794600001,2.8896328762780974,3,True,0
11,352,250,0.32444140224145757,0.001937569248092123,0.04,0.9416586545727718,3,True,1
11,352,300,0.23336203379228662,1.0798547457347244e-05,0.00040585999999999997,0.005248094064270761,2,True,0
11,352,352,0.0,0.0,0.0,0.0,0,True,0
