map_id,unique_relative_beliefs,k,silhouette,mean_l1_error,max_l1_error,objective,iterations,converged,best_by_silhouette,l1_improvement_from_previous_k,is_geometric_knee,geometric_knee_distance
97,499,25,0.24502835695778621,0.04900612623232762,0.12367376251346934,31.90298817724528,3,True,0,,0,
97,499,50,0.18897578021758638,0.035773061177086396,0.09566000000000001,23.288262826283244,5,True,0,0.013233065055241224,0,
97,499,75,0.20470250068945242,0.029408975912398473,0.08805972772576,19.145243318971406,5,True,0,0.006364085264687923,0,
97,499,100,0.26540658023402436,0.02200567049746005,0.07415846000000001,14.325691493846492,4,True,0,0.007403305414938423,1,0.22242814558910212
97,499,125,0.2646049590164934,0.019154858443358208,0.058800000000000005,12.469812846626194,4,True,0,0.0028508120541018422,0,
97,499,150,0.2641323208389405,0.01674635313867788,0.058800000000000005,10.9018758932793,6,True,0,0.002408505304680328,0,
97,499,200,0.28428217377518683,0.011871142895926263,0.058800000000000005,7.728114025247997,5,True,0,0.004875210242751617,0,
97,499,250,0.32082490872763386,0.007279437183248188,0.05486485320000001,4.73891360629457,4,True,0,0.004591705712678075,0,
97,499,300,0.3788343160466416,0.003031327177908444,0.038382154740472164,1.973393992818397,2,True,1,0.004248110005339744,0,
97,499,499,0.0,0.0,0.0,0.0,0,True,0,0.003031327177908444,0,
