map_id,unique_relative_beliefs,k,silhouette,mean_l1_error,max_l1_error,objective,iterations,converged,best_by_silhouette,l1_improvement_from_previous_k,is_geometric_knee,geometric_knee_distance
54,545,25,0.2652074582821523,0.05079837857370707,0.1450524099022998,37.54000176596953,5,True,0,,0,
54,545,50,0.1961222339478656,0.03676690655257263,0.11201184000000003,27.170743942351173,6,True,0,0.014031472021134445,0,
54,545,75,0.22362774519085016,0.028650211705071975,0.11121438000000003,21.17250645004819,5,True,0,0.008116694847500654,0,
54,545,100,0.2717638251567547,0.02197046280873022,0.06815145934159299,16.236172015651633,5,True,0,0.0066797488963417535,1,0.24545006588089194
54,545,125,0.28880621833241765,0.019058536893066424,0.05909804997200007,14.084258763976088,4,True,0,0.0029119259156637975,0,
54,545,150,0.297660686084682,0.016257381055541507,0.057823999999999966,12.014204600045174,4,True,0,0.002801155837524917,0,
54,545,200,0.3106000718848585,0.01225146684434423,0.057823999999999966,9.053833997970386,4,True,0,0.004005914211197276,0,
54,545,250,0.3427494551747992,0.008111792227512446,0.05553638000000003,5.994614456131698,4,True,0,0.004139674616831785,0,
54,545,300,0.39438444323034344,0.004290194570022432,0.04772831327731374,3.170453787246577,3,True,1,0.003821597657490014,0,
54,545,545,0.0,0.0,0.0,0.0,0,True,0,0.004290194570022432,0,
