map_id,unique_relative_beliefs,k,silhouette,mean_l1_error,max_l1_error,objective,iterations,converged,best_by_silhouette
12,540,25,0.2578493513569569,0.05213086861914587,0.12935990284599996,38.26405756645307,4,True,0
12,540,50,0.1817970780169592,0.038891041174751076,0.10581214966043558,28.54602422226729,4,True,0
12,540,75,0.21461111109685135,0.030185722000023965,0.07840000000000003,22.15631994801759,4,True,0
12,540,100,0.25772185967156963,0.023356926466574085,0.05821800000000001,17.14398402646538,5,True,0
12,540,125,0.2762410137561296,0.019446969009718613,0.05821800000000001,14.27407525313346,6,True,0
12,540,150,0.29135208383453515,0.016427322414302725,0.05821800000000001,12.0576546520982,7,True,0
12,540,200,0.30024425962339174,0.012410711324919934,0.05821800000000001,9.109462112491231,7,True,0
12,540,250,0.3533109417514219,0.008199243181950524,0.056482,6.018244495551685,4,True,0
12,540,300,0.4224865788293031,0.004233737743875345,0.05449500319999982,3.107563504004503,2,True,1
12,540,540,0.0,0.0,0.0,0.0,0,True,0
