map_id,unique_relative_beliefs,k,silhouette,mean_l1_error,max_l1_error,objective,iterations,converged,best_by_silhouette,l1_improvement_from_previous_k,is_geometric_knee,geometric_knee_distance
87,433,25,0.24376168422281005,0.04651847608941062,0.12623103765381305,28.37627041454048,3,True,0,,0,
87,433,50,0.22345355076524978,0.031491815845316434,0.09381314005399986,19.210007665643026,5,True,0,0.015026660244094187,0,
87,433,75,0.29546285076536194,0.022193176313070405,0.07642520448000001,13.537837550972947,6,True,0,0.00929863953224603,1,0.24655667500944875
87,433,100,0.326268882469911,0.018223180708688547,0.060000000000000005,11.116140232300014,4,True,0,0.0039699956043818575,0,
87,433,125,0.33609740519337944,0.014888166955339064,0.060000000000000005,9.081781842756829,4,True,0,0.003335013753349483,0,
87,433,150,0.3539951633037363,0.012422961688284493,0.060000000000000005,7.578006629853541,4,True,0,0.002465205267054571,0,
87,433,200,0.3748771603677522,0.006709576718828122,0.05366943140196006,4.092841798485154,3,True,0,0.005713384969456371,0,
87,433,250,0.4008603554687961,0.003130214188791778,0.034906630806000115,1.9094306551629845,2,True,1,0.0035793625300363442,0,
87,433,300,0.39188624573849584,0.0006651128612196856,0.01864802619999999,0.4057188453440082,2,True,0,0.002465101327572092,0,
87,433,433,0.0,0.0,0.0,0.0,0,True,0,0.0006651128612196856,0,
