k,maps,mean_l1_error,mean_max_l1_error,mean_silhouette,is_geometric_knee,geometric_distance
25,29,0.049796621559348886,0.1366832339193321,0.2501143105112593,0,
50,29,0.035769112690574,0.10174155377622668,0.20444469302805626,0,
75,29,0.0282259513846858,0.08481004999521104,0.21493255823588844,0,
100,29,0.02204529372235478,0.06796936548807057,0.2560487532124414,1,0.23029324301482604
125,29,0.01874005114636077,0.06503913650215211,0.2733615943226492,0,
150,29,0.016123571763582378,0.060489969702519714,0.283566863635992,0,
200,29,0.0111363750786115,0.05603872024186255,0.3114637098801474,0,
250,29,0.006600776695047377,0.046060290699596364,0.3458763656951848,0,
300,29,0.003421599735598953,0.0365330126596908,0.35842265655421707,0,
