map_id,unique_relative_beliefs,k,silhouette,mean_l1_error,max_l1_error,objective,iterations,converged,best_by_silhouette
10,455,25,0.24033827602750304,0.04413389956463688,0.11072845314597846,28.378097420061515,3,True,0
10,455,50,0.18836633012230147,0.031163077695152735,0.08902578656744004,20.037858957983207,5,True,0
10,455,75,0.28518900399881836,0.02150413817425452,0.07456199113400004,13.827160846045656,4,True,0
10,455,100,0.2911853989912722,0.01784457085911131,0.0742526872,11.474059062408573,5,True,0
10,455,125,0.3160158533353893,0.014875838387766223,0.057247999999999966,9.56516408333368,4,True,0
10,455,150,0.32372085786708904,0.012873818313183733,0.057247999999999966,8.27786517537714,3,True,0
10,455,200,0.34909551637915565,0.007620036897916661,0.05060196621789016,4.899683725360413,3,True,0
10,455,250,0.37364072580804,0.003931499591759252,0.050435425036386185,2.5279542375011985,3,True,1
10,455,300,0.36693292443206527,0.0011430484239328446,0.035630939378000145,0.7349801365888191,2,True,0
10,455,455,0.0,0.0,0.0,0.0,0,True,0
