map_id,requested_k,effective_k,raw_unique_beliefs,raw_occurrences,sw2_mean,sw2_p95,sw2_max,mse_abs_mean,mse_rel_mean,urc_level_disagreement,transition_mismatch_rate,transition_mismatches,transition_occurrences,ambiguous_transition_keys,transition_key_count
43,50,50,552,730,0.08621714696834043,0.17206281728980494,0.23422327184617203,0.037948485264275335,0.11423888737516133,0.4808219178082192,0.17682926829268292,116,656,95,427
43,75,75,552,730,0.06854836589561594,0.15192801294809127,0.22640834520775543,0.02966185997739089,0.08636229431285268,0.40136986301369865,0.12347560975609756,81,656,72,512
43,100,100,552,730,0.05756498555177394,0.14325863230311187,0.19056864683217986,0.025051952676535656,0.07287195484954397,0.3726027397260274,0.08689024390243902,57,656,52,552
43,125,125,552,730,0.05021813870425343,0.136816380395815,0.1892649017227286,0.021768035706656325,0.06738892990150122,0.33287671232876714,0.08384146341463415,55,656,51,576
43,150,150,552,730,0.04409004607753497,0.13096296326987747,0.1736085939292875,0.01912343269646867,0.05922660337245025,0.2863013698630137,0.0899390243902439,59,656,55,568
43,175,175,552,730,0.03759583784509682,0.12374160681599453,0.1531817034384569,0.01622600296456131,0.04930036112873095,0.2493150684931507,0.039634146341463415,26,656,25,600
43,200,200,552,730,0.03356168607957755,0.12198953310892349,0.1491364469338063,0.013746463219090392,0.044207883309744844,0.2191780821917808,0.041158536585365856,27,656,27,609
