k,representation_mean_l1,representation_max_l1,transition_mean_l1,transition_max_l1,selected
10,1.382724613704249,1.9999999918014015,1.3410758653070016,1.999999926357796,0
20,1.1414773981305664,1.9999980011999998,1.104119820677577,1.9999794788360001,0
30,0.9713764450871176,1.9998000000000002,0.9457498221770531,1.9967530949130632,0
50,0.5553855054720648,1.9963120012955995,0.5392901275766822,1.96,0
75,0.10667962003200522,0.3808958402344998,0.1082198260913278,0.3208958402344998,0
100,0.06989924539642925,0.21309845715727868,0.07220015589340685,0.21309845715727868,0
150,0.04696780664344176,0.14800715218800006,0.0484005293809909,0.14800715218800006,0
200,0.03693871987358332,0.11162984000000001,0.03902112123999238,0.11162984000000001,0
300,0.02563197881208673,0.059000000000000025,0.02873083635413521,0.059000000000000025,0
400,0.01643741524209394,0.05377714794600002,0.018424667516613067,0.05377714794600002,1
500,0.008858948217565216,0.03999999999999999,0.00992997822659728,0.03999999999999999,0
649,0.0,0.0,0.0,0.0,0
