age,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
0,72,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,72,16,2,0.07416666666666666,0.010374916331657274,0.04,0.08,0.04,0.3472222222222222
2,70,33,2,0.14965,0.016038442656852406,0.1098,0.16319999999999998,0.05339999999999999,0.5
3,68,51,2,0.2283582205882353,0.019314484757974947,0.180313,0.24959999999999996,0.06928699999999996,0.5
4,65,60,3,0.3084848070769231,0.023357351235499212,0.23448177999999997,0.33919993000000004,0.10471815000000007,0.49230769230769234
5,63,63,3,0.3882115237603174,0.027888229912401107,0.30102732340000005,0.4191999304,0.11817260699999993,0.4920634920634921
6,61,61,3,0.47115485211944264,0.03076803712962656,0.3764619832199999,0.5119993547670001,0.13553737154700018,0.4918032786885246
7,59,59,3,0.5550275457300506,0.03274433374744832,0.45579587925859,0.60798583228686,0.15218995302827,0.4915254237288136
8,57,57,3,0.6380690710577686,0.03554470464425278,0.5435905202500279,0.6991046023991958,0.15551408214916795,0.49122807017543857
9,54,54,3,0.7174327893922516,0.0425511703623082,0.6039920002137216,0.789284339946865,0.1852923397331434,0.5
10,50,50,4,0.79455942517724,0.0549001831570266,0.6204335673376098,0.8762283745297875,0.25579480719217773,0.5
