age,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
0,48,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,48,13,2,0.07354166666666667,0.009893091725486471,0.04,0.08,0.04,0.4375
2,47,26,2,0.14792978723404254,0.016268346957226114,0.1098,0.16319999999999998,0.05339999999999999,0.44680851063829785
3,46,36,2,0.2249460217391305,0.02067629383837519,0.18031300000000003,0.24960000000000004,0.06928700000000002,0.4565217391304348
4,45,43,2,0.3025553662222223,0.026788018669167035,0.23448177999999995,0.33919993000000004,0.1047181500000001,0.48888888888888893
5,44,44,3,0.38063761776818184,0.03412251775394117,0.30102732339999994,0.43199965300000004,0.1309723296000001,0.5
6,42,42,3,0.46002574069264285,0.03996607318517755,0.37083660738299995,0.527998803842,0.1571621964590001,0.5
7,40,40,4,0.5393000964547937,0.048111348865922464,0.44319562734609,0.62718483417088,0.18398920682478997,0.55
8,38,38,4,0.6156769720043688,0.05947903008751119,0.5070212799883304,0.7287726909007698,0.22175141091243944,0.631578947368421
9,36,36,5,0.6899637886393775,0.07308273846826382,0.5293438801766229,0.8009305828091333,0.2715867026325104,0.6111111111111112
10,33,33,5,0.7625920658032181,0.08917113092609767,0.5304529292295953,0.8763555504810335,0.3459026212514382,0.48484848484848486
