k,representation_mean_l1,representation_max_l1,transition_mean_l1,transition_max_l1,selected
10,1.442481640736679,1.9999999999999996,1.4048450619446855,2.0,0
20,1.078111857036665,1.9999999919445803,1.0265476180812678,1.99996444,0
30,0.8673524238899287,1.9999897131398603,0.8202132360057616,1.9984806091999994,0
50,0.556430546682488,1.9982715154368202,0.5316477806369547,1.9798118200000003,0
75,0.18837737533281695,1.9353201488033687,0.19327129666370188,1.9153201488033686,0
100,0.08140691887378773,0.24990678082786377,0.08350049036396408,0.24990678082786377,0
150,0.05212135677186187,0.174266,0.05421121217696984,0.15812354678618737,0
200,0.03933955719082453,0.11105172000000002,0.041470909329360886,0.11105172000000002,0
300,0.02828701538512565,0.06000000000000003,0.030590491190267324,0.06000000000000003,0
400,0.019620535128278237,0.05540547920000001,0.022007235293961373,0.05540547920000001,1
500,0.011634648409983493,0.049473991032841454,0.013049921597295861,0.049473991032841454,0
710,0.0,0.0,0.0,0.0,0
