age,xhat,yhat,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
1,0,6,2,2,1,0.07,0.0,0.07,0.07,0.0,0.0
1,1,0,2,2,1,0.05500000000000001,0.015000000000000003,0.04,0.07,0.030000000000000006,0.0
1,1,1,2,2,2,0.065,0.015,0.05,0.08,0.03,0.5
1,1,3,3,3,2,0.07,0.01414213562373095,0.05,0.08,0.03,0.33333333333333337
1,1,6,3,3,2,0.07,0.01414213562373095,0.05,0.08,0.03,0.33333333333333337
1,2,6,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,3,6,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,3,7,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,4,4,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,5,4,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,6,0,2,2,2,0.07500000000000001,0.0049999999999999975,0.07,0.08,0.009999999999999995,0.5
1,6,6,3,3,1,0.08,0.0,0.08,0.08,0.0,0.0
1,6,7,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,6,9,2,2,2,0.07500000000000001,0.0049999999999999975,0.07,0.08,0.009999999999999995,0.5
1,7,3,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,7,5,2,2,1,0.08,0.0,0.08,0.08,0.0,0.0
1,7,9,2,2,2,0.07500000000000001,0.0049999999999999975,0.07,0.08,0.009999999999999995,0.5
1,8,0,2,2,2,0.06,0.02,0.04,0.08,0.04,0.5
1,8,9,2,2,2,0.07500000000000001,0.0049999999999999975,0.07,0.08,0.009999999999999995,0.5
1,9,3,2,2,1,0.07,9.813077866773595e-18,0.06999999999999999,0.07,1.3877787807814457e-17,0.0
1,9,9,2,2,1,0.07,9.813077866773595e-18,0.06999999999999999,0.07,1.3877787807814457e-17,0.0
2,1,1,2,2,1,0.10405,0.015449999999999992,0.08860000000000001,0.1195,0.030899999999999983,0.0
2,1,2,2,2,1,0.14505,0.014450000000000005,0.1306,0.1595,0.02890000000000001,0.0
2,1,3,2,2,2,0.14084999999999998,0.021349999999999994,0.1195,0.16219999999999998,0.04269999999999999,0.5
2,1,4,3,3,2,0.1506666666666667,0.01529582368564118,0.12910000000000005,0.16290000000000002,0.03379999999999997,0.33333333333333337
2,1,6,4,4,2,0.141025,0.02152642271720966,0.1195,0.16290000000000002,0.04340000000000002,0.5
