age,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
0,78,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,78,16,2,0.07243589743589743,0.012214524502001436,0.04,0.08,0.04,0.3589743589743589
2,76,39,2,0.14893421052631584,0.01750354514941999,0.0886,0.16319999999999998,0.07459999999999999,0.4473684210526315
3,74,51,2,0.22840668918918922,0.02048587119437652,0.16753600000000002,0.2496,0.08206399999999997,0.4864864864864865
4,73,68,2,0.3082158146575342,0.024703099316277875,0.24171396999999997,0.33919985,0.09748588000000005,0.4931506849315068
5,71,71,2,0.38829571490140846,0.02957423089936642,0.3181239079000001,0.4319874375,0.1138635295999999,0.49295774647887325
6,68,68,3,0.4649919090244118,0.036720806859714496,0.37340390343499996,0.5279035150620001,0.1544996116270001,0.5
7,63,63,4,0.5434729450662952,0.04446644392721835,0.3806532899877501,0.6078839086068801,0.22723061861913002,0.4920634920634921
8,57,57,4,0.6239170753820286,0.045231911198111166,0.4613396356082216,0.6989358237639232,0.23759618815570155,0.49122807017543857
9,48,48,4,0.7065895276813228,0.05045996240702308,0.5451956186247578,0.7767261571290632,0.23153053850430538,0.5
10,42,42,3,0.7930944487797418,0.04624881080483559,0.6946750761930484,0.866198069367433,0.17152299317438469,0.5
